experiment,step,metric,value
DC-PPO (50M+50M),6169600,reward,63378.08984375
DC-PPO (50M+50M),6220800,reward,63947.5859375
DC-PPO (50M+50M),6272000,reward,63856.43359375
DC-PPO (50M+50M),6323200,reward,63465.49609375
DC-PPO (50M+50M),6374400,reward,64326.39453125
DC-PPO (50M+50M),6425600,reward,65758.8828125
DC-PPO (50M+50M),6476800,reward,65418.02734375
DC-PPO (50M+50M),6528000,reward,65252.109375
DC-PPO (50M+50M),6579200,reward,65878.0234375
DC-PPO (50M+50M),6630400,reward,66259.515625
DC-PPO (50M+50M),6681600,reward,65099.4140625
DC-PPO (50M+50M),6732800,reward,65753.1328125
DC-PPO (50M+50M),6784000,reward,65867.1875
DC-PPO (50M+50M),6835200,reward,65803.7734375
DC-PPO (50M+50M),6886400,reward,65593.4921875
DC-PPO (50M+50M),6937600,reward,65446.10546875
DC-PPO (50M+50M),6988800,reward,65860.5390625
DC-PPO (50M+50M),7040000,reward,65548.9453125
DC-PPO (50M+50M),7091200,reward,65875.421875
DC-PPO (50M+50M),7142400,reward,65031.58984375
DC-PPO (50M+50M),7193600,reward,65033.14453125
DC-PPO (50M+50M),7244800,reward,64439.32421875
DC-PPO (50M+50M),7296000,reward,65690.078125
DC-PPO (50M+50M),7347200,reward,65382.8828125
DC-PPO (50M+50M),7398400,reward,66150.46875
DC-PPO (50M+50M),7449600,reward,66808.2109375
DC-PPO (50M+50M),7500800,reward,66204.140625
DC-PPO (50M+50M),7552000,reward,66697.65625
DC-PPO (50M+50M),7603200,reward,68066.5234375
DC-PPO (50M+50M),7654400,reward,68138.5625
DC-PPO (50M+50M),7705600,reward,68089.484375
DC-PPO (50M+50M),7756800,reward,66612.171875
DC-PPO (50M+50M),7808000,reward,68575.3515625
DC-PPO (50M+50M),7859200,reward,68410.4609375
DC-PPO (50M+50M),7910400,reward,67811.921875
DC-PPO (50M+50M),7961600,reward,68089.3984375
DC-PPO (50M+50M),8012800,reward,67918.4609375
DC-PPO (50M+50M),8064000,reward,67131.6640625
DC-PPO (50M+50M),8115200,reward,67696.6953125
DC-PPO (50M+50M),8166400,reward,68193.484375
DC-PPO (50M+50M),8217600,reward,67751.359375
DC-PPO (50M+50M),8268800,reward,67398.296875
DC-PPO (50M+50M),8320000,reward,67455.5078125
DC-PPO (50M+50M),8371200,reward,67724.6484375
DC-PPO (50M+50M),8422400,reward,70016.953125
DC-PPO (50M+50M),8473600,reward,66799.640625
DC-PPO (50M+50M),8524800,reward,68184.3515625
DC-PPO (50M+50M),8576000,reward,68900.84375
DC-PPO (50M+50M),8627200,reward,68581.4765625
DC-PPO (50M+50M),8678400,reward,69415.5859375
DC-PPO (50M+50M),8729600,reward,68921.4453125
DC-PPO (50M+50M),8780800,reward,70190.6796875
DC-PPO (50M+50M),8832000,reward,69332.8828125
DC-PPO (50M+50M),8883200,reward,69548.4296875
DC-PPO (50M+50M),8934400,reward,69709.78125
DC-PPO (50M+50M),8985600,reward,71314.9921875
DC-PPO (50M+50M),9036800,reward,70679.109375
DC-PPO (50M+50M),9088000,reward,69816.1875
DC-PPO (50M+50M),9139200,reward,70907.2265625
DC-PPO (50M+50M),9190400,reward,69806.640625
DC-PPO (50M+50M),9241600,reward,71060.2578125
DC-PPO (50M+50M),9292800,reward,71709.4453125
DC-PPO (50M+50M),9344000,reward,71382.2734375
DC-PPO (50M+50M),9395200,reward,71143.921875
DC-PPO (50M+50M),9446400,reward,71558.984375
DC-PPO (50M+50M),9497600,reward,73135.8828125
DC-PPO (50M+50M),9548800,reward,71067.46875
DC-PPO (50M+50M),9600000,reward,70725.1796875
DC-PPO (50M+50M),9651200,reward,70904.1953125
DC-PPO (50M+50M),9702400,reward,71692.3671875
DC-PPO (50M+50M),9753600,reward,71867.5234375
DC-PPO (50M+50M),9804800,reward,71260.0
DC-PPO (50M+50M),9856000,reward,71618.8828125
