series,learning_episode,raw_value,three_point_smoothed_value
"MAPPO (strict 1+5, stochastic train)",283.0,406215.25,407441.8229166667
"MAPPO (strict 1+5, stochastic train)",285.0,409338.875,408195.84375
"MAPPO (strict 1+5, stochastic train)",287.0,409033.40625,408918.4895833333
"MAPPO (strict 1+5, stochastic train)",289.0,408383.1875,410014.3645833333
"MAPPO (strict 1+5, stochastic train)",291.0,412626.5,411091.0104166667
"MAPPO (strict 1+5, stochastic train)",293.0,412263.34375,413082.84375
"MAPPO (strict 1+5, stochastic train)",295.0,414358.6875,416080.9375
"MAPPO (strict 1+5, stochastic train)",297.0,421620.78125,418573.6875
"MAPPO (strict 1+5, stochastic train)",299.0,419741.59375,418925.09375
"MAPPO (strict 1+5, stochastic train)",301.0,415412.90625,415806.6979166667
"MAPPO (strict 1+5, stochastic train)",303.0,412265.59375,415295.78125
"MAPPO (strict 1+5, stochastic train)",305.0,418208.84375,415760.8229166667
"MAPPO (strict 1+5, stochastic train)",307.0,416808.03125,416343.1979166667
"MAPPO (strict 1+5, stochastic train)",309.0,414012.71875,415619.21875
"MAPPO (strict 1+5, stochastic train)",311.0,416036.90625,413754.65625
"MAPPO (strict 1+5, stochastic train)",313.0,411214.34375,413409.53125
"MAPPO (strict 1+5, stochastic train)",315.0,412977.34375,412401.7291666667
"MAPPO (strict 1+5, stochastic train)",317.0,413013.5,413213.8854166667
"MAPPO (strict 1+5, stochastic train)",319.0,413650.8125,413342.7291666667
"MAPPO (strict 1+5, stochastic train)",321.0,413363.875,412896.125
"MAPPO (strict 1+5, stochastic train)",323.0,411673.6875,414120.7395833333
"MAPPO (strict 1+5, stochastic train)",325.0,417324.65625,415710.15625
"MAPPO (strict 1+5, stochastic train)",327.0,418132.125,420739.59375
"MAPPO (strict 1+5, stochastic train)",329.0,426762.0,418199.0520833333
"MAPPO (strict 1+5, stochastic train)",331.0,409703.03125,418513.3958333333
"MAPPO (strict 1+5, stochastic train)",333.0,419075.15625,414947.1458333333
"MAPPO (strict 1+5, stochastic train)",335.0,416063.25,415948.46875
"MAPPO (strict 1+5, stochastic train)",337.0,412707.0,415876.4270833333
"MAPPO (strict 1+5, stochastic train)",339.0,418859.03125,416048.8958333333
"MAPPO (strict 1+5, stochastic train)",341.0,416580.65625,419547.7291666667
"MAPPO (strict 1+5, stochastic train)",343.0,423203.5,418462.9479166667
"MAPPO (strict 1+5, stochastic train)",345.0,415604.6875,418132.2291666667
"MAPPO (strict 1+5, stochastic train)",347.0,415588.5,415888.9583333333
"MAPPO (strict 1+5, stochastic train)",349.0,416473.6875,417861.4166666667
"MAPPO (strict 1+5, stochastic train)",351.0,421522.0625,419265.96875
"MAPPO (strict 1+5, stochastic train)",353.0,419802.15625,419354.5520833333
"MAPPO (strict 1+5, stochastic train)",355.0,416739.4375,420399.7395833333
"MAPPO (strict 1+5, stochastic train)",357.0,424657.625,421405.5520833333
"MAPPO (strict 1+5, stochastic train)",359.0,422819.59375,425291.46875
"MAPPO (strict 1+5, stochastic train)",361.0,428397.1875,426398.9375
"MAPPO (strict 1+5, stochastic train)",363.0,427980.03125,427353.0625
"MAPPO (strict 1+5, stochastic train)",365.0,425681.96875,425843.5729166667
"MAPPO (strict 1+5, stochastic train)",367.0,423868.71875,427179.8854166667
"MAPPO (strict 1+5, stochastic train)",369.0,431988.96875,427962.2604166667
"MAPPO (strict 1+5, stochastic train)",371.0,428029.09375,429385.46875
"MAPPO (strict 1+5, stochastic train)",373.0,428138.34375,426652.6458333333
"MAPPO (strict 1+5, stochastic train)",375.0,423790.5,425005.375
"MAPPO (strict 1+5, stochastic train)",377.0,423087.28125,424388.1875
"MAPPO (strict 1+5, stochastic train)",379.0,426286.78125,425543.8958333333
"MAPPO (strict 1+5, stochastic train)",381.0,427257.625,425591.9583333333
"MAPPO (strict 1+5, stochastic train)",383.0,423231.46875,424795.3645833333
"MAPPO (strict 1+5, stochastic train)",385.0,423897.0,425350.7916666667
"MAPPO (strict 1+5, stochastic train)",387.0,428923.90625,427208.4166666667
"MAPPO (strict 1+5, stochastic train)",389.0,428804.34375,428422.53125
"MAPPO (strict 1+5, stochastic train)",391.0,427539.34375,427977.5
"MAPPO (strict 1+5, stochastic train)",393.0,427588.8125,427171.28125
"MAPPO (strict 1+5, stochastic train)",395.0,426385.6875,427198.1458333333
"MAPPO (strict 1+5, stochastic train)",397.0,427619.9375,427938.6041666667
"MAPPO (strict 1+5, stochastic train)",399.0,429810.1875,428826.8645833333
"MAPPO (strict 1+5, stochastic train)",401.0,429050.46875,430865.84375
"MAPPO (strict 1+5, stochastic train)",403.0,433736.875,430861.6770833333
"MAPPO (strict 1+5, stochastic train)",405.0,429797.6875,431163.8541666667
"MAPPO (strict 1+5, stochastic train)",407.0,429957.0,428097.0416666667
