series,last_steps,last_episode,last20,last50,best20_full,first50m_last20,second50m_first20,second50m_last20
MAPPO strict 1+5 (stitched 100M),99996800,3906.125,484979.415625,483397.500625,490900.93632812495,469570.171875,471102.11953125,484979.415625
DC-PPO strict 1+5 (stitched 100M),99996800,3906.125,494415.92421875,492920.79328125,497380.266796875,435467.681640625,430518.830078125,494415.92421875
E1 spatial-flight (live),41856000,1635.0,401828.7111328125,399604.2259375,401828.71113281255,401828.7111328125,,
E2 + reset curriculum (live),41753600,1631.0,444387.2828125,441976.67640625,444410.1820312499,444387.2828125,,
