series,segment,cumulative_steps,learning_episode,raw_or_mean,three_point_smoothed
"MAPPO (fixed 60, 3 seeds)",historical,3251200.0,127.0,385037.33839699073,385037.33839699073
"MAPPO (fixed 60, 3 seeds)",historical,3302400.0,129.0,385748.62037037034,385748.62037037034
"MAPPO (fixed 60, 3 seeds)",historical,3353600.0,131.0,386708.95081018517,386708.95081018517
"MAPPO (fixed 60, 3 seeds)",historical,3404800.0,133.0,388021.6546585648,388021.6546585648
"MAPPO (fixed 60, 3 seeds)",historical,3456000.0,135.0,388697.14510995365,388697.14510995365
"MAPPO (fixed 60, 3 seeds)",historical,3507200.0,137.0,388761.9199942129,388761.9199942129
"MAPPO (fixed 60, 3 seeds)",historical,3558400.0,139.0,389036.3771701388,389036.3771701388
"MAPPO (fixed 60, 3 seeds)",historical,3609600.0,141.0,390181.77271412034,390181.77271412034
"MAPPO (fixed 60, 3 seeds)",historical,3660800.0,143.0,391660.30714699073,391660.30714699073
"MAPPO (fixed 60, 3 seeds)",historical,3712000.0,145.0,393012.2384259259,393012.2384259259
"MAPPO (fixed 60, 3 seeds)",historical,3763200.0,147.0,393199.0830439815,393199.0830439815
"MAPPO (fixed 60, 3 seeds)",historical,3814400.0,149.0,392600.849537037,392600.849537037
"MAPPO (fixed 60, 3 seeds)",historical,3865600.0,151.0,392099.48046875,392099.48046875
"MAPPO (fixed 60, 3 seeds)",historical,3916800.0,153.0,392699.8962673612,392699.8962673612
"MAPPO (fixed 60, 3 seeds)",historical,3968000.0,155.0,394392.537181713,394392.537181713
"MAPPO (fixed 60, 3 seeds)",historical,4019200.0,157.0,396112.6200810186,396112.6200810186
"MAPPO (fixed 60, 3 seeds)",historical,4070400.0,159.0,397504.38802083343,397504.38802083343
"MAPPO (fixed 60, 3 seeds)",historical,4121600.0,161.0,398464.4131944445,398464.4131944445
"MAPPO (fixed 60, 3 seeds)",historical,4172800.0,163.0,399188.0185185186,399188.0185185186
"MAPPO (fixed 60, 3 seeds)",historical,4224000.0,165.0,399843.2635995371,399843.2635995371
"MAPPO (fixed 60, 3 seeds)",historical,4275200.0,167.0,400099.77010995377,400099.77010995377
"MAPPO (fixed 60, 3 seeds)",historical,4326400.0,169.0,400058.8260995371,400058.8260995371
"MAPPO (fixed 60, 3 seeds)",historical,4377600.0,171.0,400043.8269675926,400043.8269675926
"MAPPO (fixed 60, 3 seeds)",historical,4428800.0,173.0,400570.0536747685,400570.0536747685
"MAPPO (fixed 60, 3 seeds)",historical,4480000.0,175.0,401515.544849537,401515.544849537
"MAPPO (fixed 60, 3 seeds)",historical,4531200.0,177.0,402693.8054108796,402693.8054108796
"MAPPO (fixed 60, 3 seeds)",historical,4582400.0,179.0,404514.99782986107,404514.99782986107
"MAPPO (fixed 60, 3 seeds)",historical,4633600.0,181.0,406565.9388020833,406565.9388020833
"MAPPO (fixed 60, 3 seeds)",historical,4684800.0,183.0,408090.60185185185,408090.60185185185
"MAPPO (fixed 60, 3 seeds)",historical,4736000.0,185.0,408830.26475694444,408830.26475694444
"MAPPO (fixed 60, 3 seeds)",historical,4787200.0,187.0,409295.92549189815,409295.92549189815
"MAPPO (fixed 60, 3 seeds)",historical,4838400.0,189.0,410585.27705439815,410585.27705439815
"MAPPO (fixed 60, 3 seeds)",historical,4889600.0,191.0,411102.20847800927,411102.20847800927
"MAPPO (fixed 60, 3 seeds)",historical,4940800.0,193.0,411386.45066550927,411386.45066550927
"MAPPO (fixed 60, 3 seeds)",historical,4992000.0,195.0,410803.1731770833,410803.1731770833
"MAPPO (fixed 60, 3 seeds)",historical,5043200.0,197.0,410771.11559606483,410771.11559606483
"MAPPO (fixed 60, 3 seeds)",historical,5094400.0,199.0,410961.3459201388,410961.3459201388
"MAPPO (fixed 60, 3 seeds)",historical,5145600.0,201.0,411659.80193865736,411659.80193865736
"MAPPO (fixed 60, 3 seeds)",historical,5196800.0,203.0,413081.93431712966,413081.93431712966
