series,segment,cumulative_steps,learning_episode,raw_value,three_point_smoothed_value
MAPPO strict 1+5 (stitched 100M),0-50M,3097600,121.0,353787.03125,353013.4895833333
MAPPO strict 1+5 (stitched 100M),0-50M,3148800,123.0,355082.1875,356596.1041666667
MAPPO strict 1+5 (stitched 100M),0-50M,3200000,125.0,360919.09375,356248.1666666667
MAPPO strict 1+5 (stitched 100M),0-50M,3251200,127.0,352743.21875,356972.8125
MAPPO strict 1+5 (stitched 100M),0-50M,3302400,129.0,357256.125,355209.4895833333
MAPPO strict 1+5 (stitched 100M),0-50M,3353600,131.0,355629.125,355186.28125
MAPPO strict 1+5 (stitched 100M),0-50M,3404800,133.0,352673.59375,355489.3229166667
MAPPO strict 1+5 (stitched 100M),0-50M,3456000,135.0,358165.25,357210.8333333333
MAPPO strict 1+5 (stitched 100M),0-50M,3507200,137.0,360793.65625,359499.90625
MAPPO strict 1+5 (stitched 100M),0-50M,3558400,139.0,359540.8125,359119.4895833333
MAPPO strict 1+5 (stitched 100M),0-50M,3609600,141.0,357024.0,360877.2083333333
MAPPO strict 1+5 (stitched 100M),0-50M,3660800,143.0,366066.8125,363794.0104166667
MAPPO strict 1+5 (stitched 100M),0-50M,3712000,145.0,368291.21875,369000.8333333333
MAPPO strict 1+5 (stitched 100M),0-50M,3763200,147.0,372644.46875,369049.1041666667
MAPPO strict 1+5 (stitched 100M),0-50M,3814400,149.0,366211.625,366695.6875
MAPPO strict 1+5 (stitched 100M),0-50M,3865600,151.0,361230.96875,362915.8645833333
MAPPO strict 1+5 (stitched 100M),0-50M,3916800,153.0,361305.0,362889.1666666667
MAPPO strict 1+5 (stitched 100M),0-50M,3968000,155.0,366131.53125,364385.4791666667
MAPPO strict 1+5 (stitched 100M),0-50M,4019200,157.0,365719.90625,369186.5416666667
MAPPO strict 1+5 (stitched 100M),0-50M,4070400,159.0,375708.1875,372950.375
MAPPO strict 1+5 (stitched 100M),0-50M,4121600,161.0,377423.03125,376395.59375
MAPPO strict 1+5 (stitched 100M),0-50M,4172800,163.0,376055.5625,375959.6458333333
MAPPO strict 1+5 (stitched 100M),0-50M,4224000,165.0,374400.34375,373827.375
MAPPO strict 1+5 (stitched 100M),0-50M,4275200,167.0,371026.21875,372276.3541666667
MAPPO strict 1+5 (stitched 100M),0-50M,4326400,169.0,371402.5,372451.5104166667
MAPPO strict 1+5 (stitched 100M),0-50M,4377600,171.0,374925.8125,374068.71875
MAPPO strict 1+5 (stitched 100M),0-50M,4428800,173.0,375877.84375,374899.4479166667
MAPPO strict 1+5 (stitched 100M),0-50M,4480000,175.0,373894.6875,375036.6458333333
MAPPO strict 1+5 (stitched 100M),0-50M,4531200,177.0,375337.40625,374761.1354166667
MAPPO strict 1+5 (stitched 100M),0-50M,4582400,179.0,375051.3125,377637.9791666667
MAPPO strict 1+5 (stitched 100M),0-50M,4633600,181.0,382525.21875,378898.1770833333
MAPPO strict 1+5 (stitched 100M),0-50M,4684800,183.0,379118.0,381125.1770833333
MAPPO strict 1+5 (stitched 100M),0-50M,4736000,185.0,381732.3125,381924.8229166667
MAPPO strict 1+5 (stitched 100M),0-50M,4787200,187.0,384924.15625,383690.3020833333
MAPPO strict 1+5 (stitched 100M),0-50M,4838400,189.0,384414.4375,385238.6979166667
MAPPO strict 1+5 (stitched 100M),0-50M,4889600,191.0,386377.5,382756.5625
MAPPO strict 1+5 (stitched 100M),0-50M,4940800,193.0,377477.75,383627.4270833333
MAPPO strict 1+5 (stitched 100M),0-50M,4992000,195.0,387027.03125,384605.09375
MAPPO strict 1+5 (stitched 100M),0-50M,5043200,197.0,389310.5,389911.8645833333
MAPPO strict 1+5 (stitched 100M),0-50M,5094400,199.0,393398.0625,392633.4375
MAPPO strict 1+5 (stitched 100M),0-50M,5145600,201.0,395191.75,393607.3854166667
MAPPO strict 1+5 (stitched 100M),0-50M,5196800,203.0,392232.34375,393965.0833333333
MAPPO strict 1+5 (stitched 100M),0-50M,5248000,205.0,394471.15625,394798.3229166667
MAPPO strict 1+5 (stitched 100M),0-50M,5299200,207.0,397691.46875,394206.1979166667
MAPPO strict 1+5 (stitched 100M),0-50M,5350400,209.0,390455.96875,391550.8125
MAPPO strict 1+5 (stitched 100M),0-50M,5401600,211.0,386505.0,388882.2708333333
MAPPO strict 1+5 (stitched 100M),0-50M,5452800,213.0,389685.84375,390205.3229166667
MAPPO strict 1+5 (stitched 100M),0-50M,5504000,215.0,394425.125,390911.6458333333
MAPPO strict 1+5 (stitched 100M),0-50M,5555200,217.0,388623.96875,391500.0104166667
MAPPO strict 1+5 (stitched 100M),0-50M,5606400,219.0,391450.9375,390702.90625
MAPPO strict 1+5 (stitched 100M),0-50M,5657600,221.0,392033.8125,391554.0833333333
MAPPO strict 1+5 (stitched 100M),0-50M,5708800,223.0,391177.5,390339.46875
MAPPO strict 1+5 (stitched 100M),0-50M,5760000,225.0,387807.09375,389690.3958333333
MAPPO strict 1+5 (stitched 100M),0-50M,5811200,227.0,390086.59375,389800.7395833333
MAPPO strict 1+5 (stitched 100M),0-50M,5862400,229.0,391508.53125,392175.5520833333
MAPPO strict 1+5 (stitched 100M),0-50M,5913600,231.0,394931.53125,396662.46875
MAPPO strict 1+5 (stitched 100M),0-50M,5964800,233.0,403547.34375,398802.7083333333
MAPPO strict 1+5 (stitched 100M),0-50M,6016000,235.0,397929.25,400324.2291666667
MAPPO strict 1+5 (stitched 100M),0-50M,6067200,237.0,399496.09375,399625.0
MAPPO strict 1+5 (stitched 100M),0-50M,6118400,239.0,401449.65625,401502.4375
MAPPO strict 1+5 (stitched 100M),0-50M,6169600,241.0,403561.5625,402046.03125
MAPPO strict 1+5 (stitched 100M),0-50M,6220800,243.0,401126.875,402038.2916666667
MAPPO strict 1+5 (stitched 100M),0-50M,6272000,245.0,401426.4375,401930.0833333333
MAPPO strict 1+5 (stitched 100M),0-50M,6323200,247.0,403236.9375,402901.5
MAPPO strict 1+5 (stitched 100M),0-50M,6374400,249.0,404041.125,405243.84375
MAPPO strict 1+5 (stitched 100M),0-50M,6425600,251.0,408453.46875,406734.3125
MAPPO strict 1+5 (stitched 100M),0-50M,6476800,253.0,407708.34375,408412.0520833333
MAPPO strict 1+5 (stitched 100M),0-50M,6528000,255.0,409074.34375,407395.2708333333
MAPPO strict 1+5 (stitched 100M),0-50M,6579200,257.0,405403.125,407660.8645833333
MAPPO strict 1+5 (stitched 100M),0-50M,6630400,259.0,408505.125,406264.7291666667
MAPPO strict 1+5 (stitched 100M),0-50M,6681600,261.0,404885.9375,407084.5
MAPPO strict 1+5 (stitched 100M),0-50M,6732800,263.0,407862.4375,407730.7604166667
MAPPO strict 1+5 (stitched 100M),0-50M,6784000,265.0,410443.90625,408852.0416666667
MAPPO strict 1+5 (stitched 100M),0-50M,6835200,267.0,408249.78125,408783.5104166667
MAPPO strict 1+5 (stitched 100M),0-50M,6886400,269.0,407656.84375,408758.5416666667
MAPPO strict 1+5 (stitched 100M),0-50M,6937600,271.0,410369.0,409622.6458333333
MAPPO strict 1+5 (stitched 100M),0-50M,6988800,273.0,410842.09375,410955.8854166667
MAPPO strict 1+5 (stitched 100M),0-50M,7040000,275.0,411656.5625,410755.34375
MAPPO strict 1+5 (stitched 100M),0-50M,7091200,277.0,409767.375,409797.5833333333
MAPPO strict 1+5 (stitched 100M),0-50M,7142400,279.0,407968.8125,408169.1770833333
MAPPO strict 1+5 (stitched 100M),0-50M,7193600,281.0,406771.34375,406985.1354166667
MAPPO strict 1+5 (stitched 100M),0-50M,7244800,283.0,406215.25,407441.8229166667
MAPPO strict 1+5 (stitched 100M),0-50M,7296000,285.0,409338.875,408195.84375
MAPPO strict 1+5 (stitched 100M),0-50M,7347200,287.0,409033.40625,408918.4895833333
MAPPO strict 1+5 (stitched 100M),0-50M,7398400,289.0,408383.1875,410014.3645833333
MAPPO strict 1+5 (stitched 100M),0-50M,7449600,291.0,412626.5,411091.0104166667
MAPPO strict 1+5 (stitched 100M),0-50M,7500800,293.0,412263.34375,413082.84375
MAPPO strict 1+5 (stitched 100M),0-50M,7552000,295.0,414358.6875,416080.9375
MAPPO strict 1+5 (stitched 100M),0-50M,7603200,297.0,421620.78125,418573.6875
MAPPO strict 1+5 (stitched 100M),0-50M,7654400,299.0,419741.59375,418925.09375
MAPPO strict 1+5 (stitched 100M),0-50M,7705600,301.0,415412.90625,415806.6979166667
MAPPO strict 1+5 (stitched 100M),0-50M,7756800,303.0,412265.59375,415295.78125
MAPPO strict 1+5 (stitched 100M),0-50M,7808000,305.0,418208.84375,415760.8229166667
MAPPO strict 1+5 (stitched 100M),0-50M,7859200,307.0,416808.03125,416343.1979166667
MAPPO strict 1+5 (stitched 100M),0-50M,7910400,309.0,414012.71875,415619.21875
MAPPO strict 1+5 (stitched 100M),0-50M,7961600,311.0,416036.90625,413754.65625
MAPPO strict 1+5 (stitched 100M),0-50M,8012800,313.0,411214.34375,413409.53125
MAPPO strict 1+5 (stitched 100M),0-50M,8064000,315.0,412977.34375,412401.7291666667
MAPPO strict 1+5 (stitched 100M),0-50M,8115200,317.0,413013.5,413213.8854166667
MAPPO strict 1+5 (stitched 100M),0-50M,8166400,319.0,413650.8125,413342.7291666667
MAPPO strict 1+5 (stitched 100M),0-50M,8217600,321.0,413363.875,412896.125
MAPPO strict 1+5 (stitched 100M),0-50M,8268800,323.0,411673.6875,414120.7395833333
MAPPO strict 1+5 (stitched 100M),0-50M,8320000,325.0,417324.65625,415710.15625
MAPPO strict 1+5 (stitched 100M),0-50M,8371200,327.0,418132.125,420739.59375
MAPPO strict 1+5 (stitched 100M),0-50M,8422400,329.0,426762.0,418199.0520833333
MAPPO strict 1+5 (stitched 100M),0-50M,8473600,331.0,409703.03125,418513.3958333333
MAPPO strict 1+5 (stitched 100M),0-50M,8524800,333.0,419075.15625,414947.1458333333
MAPPO strict 1+5 (stitched 100M),0-50M,8576000,335.0,416063.25,415948.46875
MAPPO strict 1+5 (stitched 100M),0-50M,8627200,337.0,412707.0,415876.4270833333
MAPPO strict 1+5 (stitched 100M),0-50M,8678400,339.0,418859.03125,416048.8958333333
MAPPO strict 1+5 (stitched 100M),0-50M,8729600,341.0,416580.65625,419547.7291666667
MAPPO strict 1+5 (stitched 100M),0-50M,8780800,343.0,423203.5,418462.9479166667
MAPPO strict 1+5 (stitched 100M),0-50M,8832000,345.0,415604.6875,418132.2291666667
MAPPO strict 1+5 (stitched 100M),0-50M,8883200,347.0,415588.5,415888.9583333333
MAPPO strict 1+5 (stitched 100M),0-50M,8934400,349.0,416473.6875,417861.4166666667
MAPPO strict 1+5 (stitched 100M),0-50M,8985600,351.0,421522.0625,419265.96875
MAPPO strict 1+5 (stitched 100M),0-50M,9036800,353.0,419802.15625,419354.5520833333
MAPPO strict 1+5 (stitched 100M),0-50M,9088000,355.0,416739.4375,420399.7395833333
MAPPO strict 1+5 (stitched 100M),0-50M,9139200,357.0,424657.625,421405.5520833333
MAPPO strict 1+5 (stitched 100M),0-50M,9190400,359.0,422819.59375,425291.46875
MAPPO strict 1+5 (stitched 100M),0-50M,9241600,361.0,428397.1875,426398.9375
MAPPO strict 1+5 (stitched 100M),0-50M,9292800,363.0,427980.03125,427353.0625
MAPPO strict 1+5 (stitched 100M),0-50M,9344000,365.0,425681.96875,425843.5729166667
MAPPO strict 1+5 (stitched 100M),0-50M,9395200,367.0,423868.71875,427179.8854166667
MAPPO strict 1+5 (stitched 100M),0-50M,9446400,369.0,431988.96875,427962.2604166667
MAPPO strict 1+5 (stitched 100M),0-50M,9497600,371.0,428029.09375,429385.46875
MAPPO strict 1+5 (stitched 100M),0-50M,9548800,373.0,428138.34375,426652.6458333333
MAPPO strict 1+5 (stitched 100M),0-50M,9600000,375.0,423790.5,425005.375
MAPPO strict 1+5 (stitched 100M),0-50M,9651200,377.0,423087.28125,424388.1875
MAPPO strict 1+5 (stitched 100M),0-50M,9702400,379.0,426286.78125,425543.8958333333
MAPPO strict 1+5 (stitched 100M),0-50M,9753600,381.0,427257.625,425591.9583333333
MAPPO strict 1+5 (stitched 100M),0-50M,9804800,383.0,423231.46875,424795.3645833333
MAPPO strict 1+5 (stitched 100M),0-50M,9856000,385.0,423897.0,425350.7916666667
MAPPO strict 1+5 (stitched 100M),0-50M,9907200,387.0,428923.90625,427208.4166666667
MAPPO strict 1+5 (stitched 100M),0-50M,9958400,389.0,428804.34375,428422.53125
MAPPO strict 1+5 (stitched 100M),0-50M,10009600,391.0,427539.34375,427977.5
MAPPO strict 1+5 (stitched 100M),0-50M,10060800,393.0,427588.8125,427171.28125
MAPPO strict 1+5 (stitched 100M),0-50M,10112000,395.0,426385.6875,427198.1458333333
MAPPO strict 1+5 (stitched 100M),0-50M,10163200,397.0,427619.9375,427938.6041666667
MAPPO strict 1+5 (stitched 100M),0-50M,10214400,399.0,429810.1875,428826.8645833333
MAPPO strict 1+5 (stitched 100M),0-50M,10265600,401.0,429050.46875,430865.84375
