series,local_learning_episode,raw_value,three_point_smoothed_value
MAPPO continuation (local x),955.0,500153.40625,498991.6354166667
MAPPO continuation (local x),957.0,499435.25,499659.0625
MAPPO continuation (local x),959.0,499388.53125,499378.1041666667
MAPPO continuation (local x),961.0,499310.53125,499235.15625
MAPPO continuation (local x),963.0,499006.40625,498934.40625
MAPPO continuation (local x),965.0,498486.28125,498629.5416666667
MAPPO continuation (local x),967.0,498395.9375,498511.8958333333
MAPPO continuation (local x),969.0,498653.46875,498934.125
MAPPO continuation (local x),971.0,499752.96875,499364.4166666667
MAPPO continuation (local x),973.0,499686.8125,499348.5208333333
MAPPO continuation (local x),975.0,498605.78125,499600.7708333333
MAPPO continuation (local x),977.0,500509.71875,499606.9895833333
MAPPO continuation (local x),979.0,499705.46875,499943.3020833333
MAPPO continuation (local x),981.0,499614.71875,500294.40625
MAPPO continuation (local x),983.0,501563.03125,500394.0520833333
MAPPO continuation (local x),985.0,500004.40625,500721.84375
MAPPO continuation (local x),987.0,500598.09375,499666.7916666667
MAPPO continuation (local x),989.0,498397.875,499582.1666666667
MAPPO continuation (local x),991.0,499750.53125,499228.3645833333
MAPPO continuation (local x),993.0,499536.6875,499635.875
MAPPO continuation (local x),995.0,499620.40625,499599.8125
MAPPO continuation (local x),997.0,499642.34375,499764.0416666667
MAPPO continuation (local x),999.0,500029.375,500008.40625
MAPPO continuation (local x),1001.0,500353.5,499845.6979166667
MAPPO continuation (local x),1003.0,499154.21875,499000.5729166667
MAPPO continuation (local x),1005.0,497494.0,497823.65625
MAPPO continuation (local x),1007.0,496822.75,497064.59375
MAPPO continuation (local x),1009.0,496877.03125,497207.2604166667
MAPPO continuation (local x),1011.0,497922.0,497140.65625
MAPPO continuation (local x),1013.0,496622.9375,496971.4479166667
MAPPO continuation (local x),1015.0,496369.40625,497096.3229166667
MAPPO continuation (local x),1017.0,498296.625,497690.6041666667
MAPPO continuation (local x),1019.0,498405.78125,497934.9375
MAPPO continuation (local x),1021.0,497102.40625,497672.71875
MAPPO continuation (local x),1023.0,497509.96875,497674.4895833333
MAPPO continuation (local x),1025.0,498411.09375,498218.8958333333
MAPPO continuation (local x),1027.0,498735.625,498702.3854166667
MAPPO continuation (local x),1029.0,498960.4375,498733.40625
MAPPO continuation (local x),1031.0,498504.15625,498604.4479166667
MAPPO continuation (local x),1033.0,498348.75,498816.3229166667
MAPPO continuation (local x),1035.0,499596.0625,498824.40625
MAPPO continuation (local x),1037.0,498528.40625,499074.7395833333
MAPPO continuation (local x),1039.0,499099.75,499127.2708333333
MAPPO continuation (local x),1041.0,499753.65625,499715.09375
MAPPO continuation (local x),1043.0,500291.875,500116.8854166667
MAPPO continuation (local x),1045.0,500305.125,500639.1875
MAPPO continuation (local x),1047.0,501320.5625,500715.2708333333
MAPPO continuation (local x),1049.0,500520.125,501382.5520833333
MAPPO continuation (local x),1051.0,502306.96875,500578.5208333333
MAPPO continuation (local x),1053.0,498908.46875,500842.5625
MAPPO continuation (local x),1055.0,501312.25,500506.0
MAPPO continuation (local x),1057.0,501297.28125,501060.3541666667
MAPPO continuation (local x),1059.0,500571.53125,500898.0416666667
MAPPO continuation (local x),1061.0,500825.3125,500532.4166666667
MAPPO continuation (local x),1063.0,500200.40625,500844.7604166667
MAPPO continuation (local x),1065.0,501508.5625,501289.5104166667
MAPPO continuation (local x),1067.0,502159.5625,501562.1354166667
MAPPO continuation (local x),1069.0,501018.28125,501607.875
MAPPO continuation (local x),1071.0,501645.78125,501154.59375
MAPPO continuation (local x),1073.0,500799.71875,501227.6666666667
MAPPO continuation (local x),1075.0,501237.5,501494.2604166667
MAPPO continuation (local x),1077.0,502445.5625,501880.7916666667
MAPPO continuation (local x),1079.0,501959.3125,502371.40625
MAPPO continuation (local x),1081.0,502709.34375,502348.6770833333
MAPPO continuation (local x),1083.0,502377.375,501661.625
MAPPO continuation (local x),1085.0,499898.15625,501288.15625
MAPPO continuation (local x),1087.0,501588.9375,500064.8333333333
MAPPO continuation (local x),1089.0,498707.40625,499640.1458333333
MAPPO continuation (local x),1091.0,498624.09375,498770.8854166667
MAPPO continuation (local x),1093.0,498981.15625,498771.7291666667
MAPPO continuation (local x),1095.0,498709.9375,498581.625
MAPPO continuation (local x),1097.0,498053.78125,498126.21875
MAPPO continuation (local x),1099.0,497614.9375,497952.4270833333
MAPPO continuation (local x),1101.0,498188.5625,497773.1354166667
MAPPO continuation (local x),1103.0,497515.90625,498176.9791666667
MAPPO continuation (local x),1105.0,498826.46875,498252.2708333333
MAPPO continuation (local x),1107.0,498414.4375,498688.5208333333
MAPPO continuation (local x),1109.0,498824.65625,498439.59375
MAPPO continuation (local x),1111.0,498079.6875,498001.875
MAPPO continuation (local x),1113.0,497101.28125,497444.0104166667
MAPPO continuation (local x),1115.0,497151.0625,497314.3854166667
MAPPO continuation (local x),1117.0,497690.8125,497189.2604166667
MAPPO continuation (local x),1119.0,496725.90625,496644.8645833333
MAPPO continuation (local x),1121.0,495517.875,495614.8854166667
MAPPO continuation (local x),1123.0,494600.875,495407.1770833333
MAPPO continuation (local x),1125.0,496102.78125,495285.0104166667
MAPPO continuation (local x),1127.0,495151.375,495550.5729166667
MAPPO continuation (local x),1129.0,495397.5625,495332.1875
MAPPO continuation (local x),1131.0,495447.625,495708.375
MAPPO continuation (local x),1133.0,496279.9375,495602.7291666667
MAPPO continuation (local x),1135.0,495080.625,495789.0208333333
MAPPO continuation (local x),1137.0,496006.5,496131.5416666667
MAPPO continuation (local x),1139.0,497307.5,496972.1145833333
MAPPO continuation (local x),1141.0,497602.34375,497314.8020833333
MAPPO continuation (local x),1143.0,497034.5625,497551.9479166667
MAPPO continuation (local x),1145.0,498018.9375,498510.4270833333
MAPPO continuation (local x),1147.0,500477.78125,499820.375
MAPPO continuation (local x),1149.0,500964.40625,500423.5833333333
MAPPO continuation (local x),1151.0,499828.5625,500247.2291666667
MAPPO continuation (local x),1153.0,499948.71875,500455.6770833333
MAPPO continuation (local x),1155.0,501589.75,500986.9479166667
MAPPO continuation (local x),1157.0,501422.375,501628.25
MAPPO continuation (local x),1159.0,501872.625,501603.3333333333
MAPPO continuation (local x),1161.0,501515.0,501592.6145833333
MAPPO continuation (local x),1163.0,501390.21875,501329.1145833333
MAPPO continuation (local x),1165.0,501082.125,501897.5
MAPPO continuation (local x),1167.0,503220.15625,502232.1041666667
MAPPO continuation (local x),1169.0,502394.03125,502526.90625
MAPPO continuation (local x),1171.0,501966.53125,501870.1145833333
MAPPO continuation (local x),1173.0,501249.78125,501364.96875
MAPPO continuation (local x),1175.0,500878.59375,501271.71875
MAPPO continuation (local x),1177.0,501686.78125,501734.4375
MAPPO continuation (local x),1179.0,502637.9375,502256.6354166667
MAPPO continuation (local x),1181.0,502445.1875,502243.9479166667
MAPPO continuation (local x),1183.0,501648.71875,501512.7708333333
MAPPO continuation (local x),1185.0,500444.40625,500946.3854166667
MAPPO continuation (local x),1187.0,500746.03125,500523.2395833333
MAPPO continuation (local x),1189.0,500379.28125,500888.9375
MAPPO continuation (local x),1191.0,501541.5,501162.7083333333
MAPPO continuation (local x),1193.0,501567.34375,501586.09375
MAPPO continuation (local x),1195.0,501649.4375,501272.3125
MAPPO continuation (local x),1197.0,500600.15625,501144.4479166667
MAPPO continuation (local x),1199.0,501183.75,501464.8541666667
MAPPO continuation (local x),1201.0,502610.65625,501833.21875
MAPPO continuation (local x),1203.0,501705.25,501911.4270833333
MAPPO continuation (local x),1205.0,501418.375,502006.2708333333
MAPPO continuation (local x),1207.0,502895.1875,501555.4270833333
MAPPO continuation (local x),1209.0,500352.71875,501766.5104166667
MAPPO continuation (local x),1211.0,502051.625,501399.0208333333
MAPPO continuation (local x),1213.0,501792.71875,501877.0
MAPPO continuation (local x),1215.0,501786.65625,500998.2083333333
MAPPO continuation (local x),1217.0,499415.25,500834.3020833333
MAPPO continuation (local x),1219.0,501301.0,500832.2395833333
MAPPO continuation (local x),1221.0,501780.46875,501662.3125
MAPPO continuation (local x),1223.0,501905.46875,501760.8958333333
MAPPO continuation (local x),1225.0,501596.75,500937.8125
MAPPO continuation (local x),1227.0,499311.21875,500076.0833333333
MAPPO continuation (local x),1229.0,499320.28125,499676.9166666667
MAPPO continuation (local x),1231.0,500399.25,500612.3125
MAPPO continuation (local x),1233.0,502117.40625,500864.3020833333
MAPPO continuation (local x),1235.0,500076.25,500704.375
MAPPO continuation (local x),1237.0,499919.46875,500584.0
MAPPO continuation (local x),1239.0,501756.28125,501202.90625
MAPPO continuation (local x),1241.0,501932.96875,502453.6666666667
MAPPO continuation (local x),1243.0,503671.75,502842.5208333333
MAPPO continuation (local x),1245.0,502922.84375,503496.9583333333
MAPPO continuation (local x),1247.0,503896.28125,503453.5729166667
MAPPO continuation (local x),1249.0,503541.59375,503149.9166666667
MAPPO continuation (local x),1251.0,502011.875,502372.8854166667
MAPPO continuation (local x),1253.0,501565.1875,502109.84375
MAPPO continuation (local x),1255.0,502752.46875,502344.4895833333
MAPPO continuation (local x),1257.0,502715.8125,502457.6458333333
MAPPO continuation (local x),1259.0,501904.65625,502333.84375
MAPPO continuation (local x),1261.0,502381.0625,502677.8020833333
MAPPO continuation (local x),1263.0,503747.6875,503169.6354166667
MAPPO continuation (local x),1265.0,503380.15625,503216.0
MAPPO continuation (local x),1267.0,502520.15625,502687.2708333333
MAPPO continuation (local x),1269.0,502161.5,502200.9583333333
MAPPO continuation (local x),1271.0,501921.21875,501803.6875
MAPPO continuation (local x),1273.0,501328.34375,501477.40625
MAPPO continuation (local x),1275.0,501182.65625,501262.5104166667
MAPPO continuation (local x),1277.0,501276.53125,501630.0104166667
MAPPO continuation (local x),1279.0,502430.84375,501871.0208333333
MAPPO continuation (local x),1281.0,501905.6875,502267.7083333333
MAPPO continuation (local x),1283.0,502466.59375,502159.3333333333
MAPPO continuation (local x),1285.0,502105.71875,501818.4375
MAPPO continuation (local x),1287.0,500883.0,501382.9166666667
MAPPO continuation (local x),1289.0,501160.03125,501151.8020833333
MAPPO continuation (local x),1291.0,501412.375,500728.0
MAPPO continuation (local x),1293.0,499611.59375,499953.8854166667
MAPPO continuation (local x),1295.0,498837.6875,499192.96875
MAPPO continuation (local x),1297.0,499129.625,499418.84375
MAPPO continuation (local x),1299.0,500289.21875,499537.2083333333
MAPPO continuation (local x),1301.0,499192.78125,500044.1770833333
MAPPO continuation (local x),1303.0,500650.53125,500334.875
MAPPO continuation (local x),1305.0,501161.3125,500889.4166666667
MAPPO continuation (local x),1307.0,500856.40625,501007.2083333333
MAPPO continuation (local x),1309.0,501003.90625,500965.3020833333
MAPPO continuation (local x),1311.0,501035.59375,501144.2604166667
MAPPO continuation (local x),1313.0,501393.28125,501404.84375
MAPPO continuation (local x),1315.0,501785.65625,501167.0833333333
MAPPO continuation (local x),1317.0,500322.3125,500264.1875
MAPPO continuation (local x),1319.0,498684.59375,499592.0833333333
MAPPO continuation (local x),1321.0,499769.34375,499661.3958333333
MAPPO continuation (local x),1323.0,500530.25,499755.7708333333
MAPPO continuation (local x),1325.0,498967.71875,499795.0
MAPPO continuation (local x),1327.0,499887.03125,499750.3541666667
MAPPO continuation (local x),1329.0,500396.3125,500074.5520833333
MAPPO continuation (local x),1331.0,499940.3125,500115.1458333333
MAPPO continuation (local x),1333.0,500008.8125,499155.6458333333
MAPPO continuation (local x),1335.0,497517.8125,498627.4791666667
MAPPO continuation (local x),1337.0,498355.8125,497773.4791666667
MAPPO continuation (local x),1339.0,497446.8125,497736.1354166667
MAPPO continuation (local x),1341.0,497405.78125,497118.46875
MAPPO continuation (local x),1343.0,496502.8125,497131.2708333333
MAPPO continuation (local x),1345.0,497485.21875,497078.1041666667
MAPPO continuation (local x),1347.0,497246.28125,497337.0729166667
MAPPO continuation (local x),1349.0,497279.71875,497236.6875
MAPPO continuation (local x),1351.0,497184.0625,496982.2604166667
MAPPO continuation (local x),1353.0,496483.0,497053.1979166667
MAPPO continuation (local x),1355.0,497492.53125,497051.90625
MAPPO continuation (local x),1357.0,497180.1875,496944.4895833333
MAPPO continuation (local x),1359.0,496160.75,496056.3854166667
MAPPO continuation (local x),1361.0,494828.21875,495377.0729166667
MAPPO continuation (local x),1363.0,495142.25,495210.125
MAPPO continuation (local x),1365.0,495659.90625,495608.15625
MAPPO continuation (local x),1367.0,496022.3125,495550.5416666667
MAPPO continuation (local x),1369.0,494969.40625,495421.4583333333
MAPPO continuation (local x),1371.0,495272.65625,495164.15625
MAPPO continuation (local x),1373.0,495250.40625,494794.0416666667
MAPPO continuation (local x),1375.0,493859.0625,495196.53125
MAPPO continuation (local x),1377.0,496480.125,494796.7083333333
MAPPO continuation (local x),1379.0,494050.9375,495608.28125
MAPPO continuation (local x),1381.0,496293.78125,495785.0104166667
MAPPO continuation (local x),1383.0,497010.3125,496403.8229166667
MAPPO continuation (local x),1385.0,495907.375,496425.4791666667
MAPPO continuation (local x),1387.0,496358.75,495715.0
MAPPO continuation (local x),1389.0,494878.875,495642.5520833333
MAPPO continuation (local x),1391.0,495690.03125,496104.3958333333
MAPPO continuation (local x),1393.0,497744.28125,496748.3541666667
MAPPO continuation (local x),1395.0,496810.75,496834.7291666667
MAPPO continuation (local x),1397.0,495949.15625,496686.84375
MAPPO continuation (local x),1399.0,497300.625,497544.6666666667
MAPPO continuation (local x),1401.0,499384.21875,499014.9791666667
MAPPO continuation (local x),1403.0,500360.09375,500098.7604166667
MAPPO continuation (local x),1405.0,500551.96875,499939.65625
MAPPO continuation (local x),1407.0,498906.90625,499632.4791666667
MAPPO continuation (local x),1409.0,499438.5625,499941.625
MAPPO continuation (local x),1411.0,501479.40625,501199.0625
MAPPO continuation (local x),1413.0,502679.21875,502641.6145833333
MAPPO continuation (local x),1415.0,503766.21875,503768.9791666667
MAPPO continuation (local x),1417.0,504861.5,503651.8854166667
MAPPO continuation (local x),1419.0,502327.9375,503241.8229166667
MAPPO continuation (local x),1421.0,502536.03125,502359.1875
MAPPO continuation (local x),1423.0,502213.59375,502413.6770833333
MAPPO continuation (local x),1425.0,502491.40625,502143.0833333333
MAPPO continuation (local x),1427.0,501724.25,502243.3854166667
MAPPO continuation (local x),1429.0,502514.5,502901.0729166667
MAPPO continuation (local x),1431.0,504464.46875,503554.5416666667
MAPPO continuation (local x),1433.0,503684.65625,503948.90625
MAPPO continuation (local x),1435.0,503697.59375,503661.0833333333
MAPPO continuation (local x),1437.0,503601.0,502997.3125
MAPPO continuation (local x),1439.0,501693.34375,502957.4375
MAPPO continuation (local x),1441.0,503577.96875,503377.71875
MAPPO continuation (local x),1443.0,504861.84375,503831.4479166667
MAPPO continuation (local x),1445.0,503054.53125,503728.90625
MAPPO continuation (local x),1447.0,503270.34375,503400.65625
MAPPO continuation (local x),1449.0,503877.09375,503879.8958333333
MAPPO continuation (local x),1451.0,504492.25,504214.375
MAPPO continuation (local x),1453.0,504273.78125,503762.9895833333
MAPPO continuation (local x),1455.0,502522.9375,503337.9791666667
MAPPO continuation (local x),1457.0,503217.21875,503187.0104166667
MAPPO continuation (local x),1459.0,503820.875,504283.28125
MAPPO continuation (local x),1461.0,505811.75,504931.6145833333
MAPPO continuation (local x),1463.0,505162.21875,505592.5520833333
MAPPO continuation (local x),1465.0,505803.6875,505485.71875
MAPPO continuation (local x),1467.0,505491.25,505503.8958333333
MAPPO continuation (local x),1469.0,505216.75,505794.125
MAPPO continuation (local x),1471.0,506674.375,506199.2916666667
MAPPO continuation (local x),1473.0,506706.75,506985.0729166667
MAPPO continuation (local x),1475.0,507574.09375,507153.84375
MAPPO continuation (local x),1477.0,507180.6875,507020.8020833333
MAPPO continuation (local x),1479.0,506307.625,506742.1666666667
MAPPO continuation (local x),1481.0,506738.1875,506462.3645833333
MAPPO continuation (local x),1483.0,506341.28125,506284.78125
MAPPO continuation (local x),1485.0,505774.875,505682.8125
MAPPO continuation (local x),1487.0,504932.28125,505373.6875
MAPPO continuation (local x),1489.0,505413.90625,505484.2604166667
MAPPO continuation (local x),1491.0,506106.59375,506128.2395833333
MAPPO continuation (local x),1493.0,506864.21875,506323.0833333333
MAPPO continuation (local x),1495.0,505998.4375,506280.6458333333
MAPPO continuation (local x),1497.0,505979.28125,505855.21875
MAPPO continuation (local x),1499.0,505587.9375,506103.8333333333
MAPPO continuation (local x),1501.0,506744.28125,506201.75
MAPPO continuation (local x),1503.0,506273.03125,506360.2083333333
MAPPO continuation (local x),1505.0,506063.3125,505717.46875
MAPPO continuation (local x),1507.0,504816.0625,505180.09375
MAPPO continuation (local x),1509.0,504660.90625,504276.1666666667
MAPPO continuation (local x),1511.0,503351.53125,504306.7916666667
MAPPO continuation (local x),1513.0,504907.9375,504311.7395833333
MAPPO continuation (local x),1515.0,504675.75,504590.9479166667
MAPPO continuation (local x),1517.0,504189.15625,504192.7395833333
MAPPO continuation (local x),1519.0,503713.3125,504109.5
MAPPO continuation (local x),1521.0,504426.03125,504559.3333333333
MAPPO continuation (local x),1523.0,505538.65625,504587.5416666667
MAPPO continuation (local x),1525.0,503797.9375,504579.1041666667
MAPPO continuation (local x),1527.0,504400.71875,504046.03125
MAPPO continuation (local x),1529.0,503939.4375,503640.3854166667
MAPPO continuation (local x),1531.0,502581.0,503026.65625
MAPPO continuation (local x),1533.0,502559.53125,502726.0833333333
MAPPO continuation (local x),1535.0,503037.71875,502381.8229166667
MAPPO continuation (local x),1537.0,501548.21875,501771.53125
MAPPO continuation (local x),1539.0,500728.65625,501542.1875
MAPPO continuation (local x),1541.0,502349.6875,502014.5833333333
MAPPO continuation (local x),1543.0,502965.40625,502523.84375
MAPPO continuation (local x),1545.0,502256.4375,502004.3125
MAPPO continuation (local x),1547.0,500791.09375,501884.1770833333
MAPPO continuation (local x),1549.0,502605.0,501595.2291666667
MAPPO continuation (local x),1551.0,501389.59375,501717.7708333333
MAPPO continuation (local x),1553.0,501158.71875,501055.0104166667
MAPPO continuation (local x),1555.0,500616.71875,501036.8541666667
MAPPO continuation (local x),1557.0,501335.125,500866.125
MAPPO continuation (local x),1559.0,500646.53125,500941.5833333333
MAPPO continuation (local x),1561.0,500843.09375,500193.03125
MAPPO continuation (local x),1563.0,499089.46875,499354.6666666667
MAPPO continuation (local x),1565.0,498131.4375,497882.0729166667
MAPPO continuation (local x),1567.0,496425.3125,497575.4791666667
MAPPO continuation (local x),1569.0,498169.6875,497350.4895833333
MAPPO continuation (local x),1571.0,497456.46875,497650.4583333333
MAPPO continuation (local x),1573.0,497325.21875,496174.4583333333
MAPPO continuation (local x),1575.0,493741.6875,494761.8333333333
MAPPO continuation (local x),1577.0,493218.59375,493730.34375
MAPPO continuation (local x),1579.0,494230.75,494146.1875
MAPPO continuation (local x),1581.0,494989.21875,494714.125
MAPPO continuation (local x),1583.0,494922.40625,495110.3645833333
MAPPO continuation (local x),1585.0,495419.46875,495622.3541666667
MAPPO continuation (local x),1587.0,496525.1875,496338.5729166667
MAPPO continuation (local x),1589.0,497071.0625,496918.71875
MAPPO continuation (local x),1591.0,497159.90625,498188.9479166667
MAPPO continuation (local x),1593.0,500335.875,498908.3229166667
MAPPO continuation (local x),1595.0,499229.1875,500193.3541666667
MAPPO continuation (local x),1597.0,501015.0,500701.9895833333
MAPPO continuation (local x),1599.0,501861.78125,501872.3229166667
MAPPO continuation (local x),1601.0,502740.1875,502371.0520833333
MAPPO continuation (local x),1603.0,502511.1875,502896.15625
MAPPO continuation (local x),1605.0,503437.09375,503356.15625
MAPPO continuation (local x),1607.0,504120.1875,504711.2395833333
MAPPO continuation (local x),1609.0,506576.4375,505776.46875
MAPPO continuation (local x),1611.0,506632.78125,506631.9166666667
MAPPO continuation (local x),1613.0,506686.53125,506504.1666666667
MAPPO continuation (local x),1615.0,506193.1875,506593.2083333333
MAPPO continuation (local x),1617.0,506899.90625,506637.125
MAPPO continuation (local x),1619.0,506818.28125,506794.25
MAPPO continuation (local x),1621.0,506664.5625,506844.84375
MAPPO continuation (local x),1623.0,507051.6875,507017.0416666667
MAPPO continuation (local x),1625.0,507334.875,507082.125
MAPPO continuation (local x),1627.0,506859.8125,506637.5
MAPPO continuation (local x),1629.0,505717.8125,506442.0416666667
MAPPO continuation (local x),1631.0,506748.5,506846.46875
MAPPO continuation (local x),1633.0,508073.09375,507588.6458333333
MAPPO continuation (local x),1635.0,507944.34375,507801.9791666667
MAPPO continuation (local x),1637.0,507388.5,508184.71875
MAPPO continuation (local x),1639.0,509221.3125,508611.90625
MAPPO continuation (local x),1641.0,509225.90625,509693.5208333333
MAPPO continuation (local x),1643.0,510633.34375,509210.3125
MAPPO continuation (local x),1645.0,507771.6875,508747.8645833333
MAPPO continuation (local x),1647.0,507838.5625,508031.9270833333
MAPPO continuation (local x),1649.0,508485.53125,508192.3020833333
MAPPO continuation (local x),1651.0,508252.8125,508571.4583333333
MAPPO continuation (local x),1653.0,508976.03125,508503.5208333333
MAPPO continuation (local x),1655.0,508281.71875,508451.125
MAPPO continuation (local x),1657.0,508095.625,507489.7916666667
MAPPO continuation (local x),1659.0,506092.03125,506672.4791666667
MAPPO continuation (local x),1661.0,505829.78125,506313.6041666667
MAPPO continuation (local x),1663.0,507019.0,506942.4479166667
MAPPO continuation (local x),1665.0,507978.5625,507319.40625
MAPPO continuation (local x),1667.0,506960.65625,507330.6458333333
MAPPO continuation (local x),1669.0,507052.71875,507075.4375
MAPPO continuation (local x),1671.0,507212.9375,507709.3958333333
MAPPO continuation (local x),1673.0,508862.53125,508038.40625
MAPPO continuation (local x),1675.0,508039.75,508363.8229166667
MAPPO continuation (local x),1677.0,508189.1875,507950.0833333333
MAPPO continuation (local x),1679.0,507621.3125,507034.6979166667
MAPPO continuation (local x),1681.0,505293.59375,506904.6354166667
MAPPO continuation (local x),1683.0,507799.0,506654.90625
MAPPO continuation (local x),1685.0,506872.125,507954.8645833333
MAPPO continuation (local x),1687.0,509193.46875,507899.1458333333
MAPPO continuation (local x),1689.0,507631.84375,507562.25
MAPPO continuation (local x),1691.0,505861.4375,506827.7395833333
MAPPO continuation (local x),1693.0,506989.9375,506254.7916666667
MAPPO continuation (local x),1695.0,505913.0,506578.1354166667
MAPPO continuation (local x),1697.0,506831.46875,506186.1458333333
MAPPO continuation (local x),1699.0,505813.96875,506418.8125
MAPPO continuation (local x),1701.0,506611.0,505751.71875
MAPPO continuation (local x),1703.0,504830.1875,505905.6145833333
MAPPO continuation (local x),1705.0,506275.65625,505965.9895833333
MAPPO continuation (local x),1707.0,506792.125,506077.9479166667
MAPPO continuation (local x),1709.0,505166.0625,505357.2708333333
MAPPO continuation (local x),1711.0,504113.625,504395.1041666667
MAPPO continuation (local x),1713.0,503905.625,504207.1458333333
MAPPO continuation (local x),1715.0,504602.1875,504403.1770833333
MAPPO continuation (local x),1717.0,504701.71875,504574.1458333333
MAPPO continuation (local x),1719.0,504418.53125,504268.0729166667
MAPPO continuation (local x),1721.0,503683.96875,502711.9166666667
MAPPO continuation (local x),1723.0,500033.25,502129.1979166667
MAPPO continuation (local x),1725.0,502670.375,501964.7916666667
MAPPO continuation (local x),1727.0,503190.75,503107.7604166667
MAPPO continuation (local x),1729.0,503462.15625,502739.9479166667
MAPPO continuation (local x),1731.0,501566.9375,501802.5208333333
MAPPO continuation (local x),1733.0,500378.46875,500834.125
MAPPO continuation (local x),1735.0,500556.96875,500606.625
MAPPO continuation (local x),1737.0,500884.4375,500284.2083333333
MAPPO continuation (local x),1739.0,499411.21875,500630.9791666667
MAPPO continuation (local x),1741.0,501597.28125,501045.5208333333
MAPPO continuation (local x),1743.0,502128.0625,502424.59375
MAPPO continuation (local x),1745.0,503548.4375,502738.875
MAPPO continuation (local x),1747.0,502540.125,503843.4791666667
MAPPO continuation (local x),1749.0,505441.875,504311.3854166667
MAPPO continuation (local x),1751.0,504952.15625,505692.125
MAPPO continuation (local x),1753.0,506682.34375,506187.7395833333
MAPPO continuation (local x),1755.0,506928.71875,507068.7708333333
MAPPO continuation (local x),1757.0,507595.25,507516.1979166667
MAPPO continuation (local x),1759.0,508024.625,507344.9791666667
MAPPO continuation (local x),1761.0,506415.0625,507448.1979166667
MAPPO continuation (local x),1763.0,507904.90625,507171.1770833333
MAPPO continuation (local x),1765.0,507193.5625,507350.9895833333
MAPPO continuation (local x),1767.0,506954.5,506998.625
MAPPO continuation (local x),1769.0,506847.8125,507402.9270833333
MAPPO continuation (local x),1771.0,508406.46875,507627.140625
DC-PPO continuation (local x),1.0,451997.5625,452371.390625
DC-PPO continuation (local x),3.0,452745.21875,452501.4375
DC-PPO continuation (local x),5.0,452761.53125,452176.4479166667
DC-PPO continuation (local x),7.0,451022.59375,451732.8125
DC-PPO continuation (local x),9.0,451414.3125,451449.6666666667
DC-PPO continuation (local x),11.0,451912.09375,451020.0416666667
DC-PPO continuation (local x),13.0,449733.71875,449958.8020833333
DC-PPO continuation (local x),15.0,448230.59375,448525.4479166667
DC-PPO continuation (local x),17.0,447612.03125,448391.6770833333
DC-PPO continuation (local x),19.0,449332.40625,448330.6666666667
DC-PPO continuation (local x),21.0,448047.5625,448026.9479166667
DC-PPO continuation (local x),23.0,446700.875,446837.5520833333
DC-PPO continuation (local x),25.0,445764.21875,446704.9375
DC-PPO continuation (local x),27.0,447649.71875,447424.0
DC-PPO continuation (local x),29.0,448858.0625,449324.9583333333
DC-PPO continuation (local x),31.0,451467.09375,450218.4375
DC-PPO continuation (local x),33.0,450330.15625,451521.7604166667
DC-PPO continuation (local x),35.0,452768.03125,451996.1666666667
DC-PPO continuation (local x),37.0,452890.3125,452933.3541666667
DC-PPO continuation (local x),39.0,453141.71875,454050.8020833333
DC-PPO continuation (local x),41.0,456120.375,455538.2083333333
DC-PPO continuation (local x),43.0,457352.53125,456577.875
DC-PPO continuation (local x),45.0,456260.71875,456766.7291666667
DC-PPO continuation (local x),47.0,456686.9375,456454.8229166667
DC-PPO continuation (local x),49.0,456416.8125,457183.0208333333
DC-PPO continuation (local x),51.0,458445.3125,457577.0
DC-PPO continuation (local x),53.0,457868.875,458487.6979166667
DC-PPO continuation (local x),55.0,459148.90625,458515.9583333333
DC-PPO continuation (local x),57.0,458530.09375,458712.9895833333
DC-PPO continuation (local x),59.0,458459.96875,458851.5208333333
DC-PPO continuation (local x),61.0,459564.5,459449.375
DC-PPO continuation (local x),63.0,460323.65625,460223.15625
DC-PPO continuation (local x),65.0,460781.3125,460794.375
DC-PPO continuation (local x),67.0,461278.15625,460378.65625
DC-PPO continuation (local x),69.0,459076.5,459306.1145833333
DC-PPO continuation (local x),71.0,457563.6875,458476.3229166667
DC-PPO continuation (local x),73.0,458788.78125,457648.3333333333
DC-PPO continuation (local x),75.0,456592.53125,456842.5104166667
DC-PPO continuation (local x),77.0,455146.21875,456612.625
DC-PPO continuation (local x),79.0,458099.125,456902.2291666667
DC-PPO continuation (local x),81.0,457461.34375,458839.1875
DC-PPO continuation (local x),83.0,460957.09375,459359.1354166667
DC-PPO continuation (local x),85.0,459658.96875,460133.4479166667
DC-PPO continuation (local x),87.0,459784.28125,459935.8229166667
DC-PPO continuation (local x),89.0,460364.21875,460397.0625
DC-PPO continuation (local x),91.0,461042.6875,460129.2708333333
DC-PPO continuation (local x),93.0,458980.90625,459798.7083333333
DC-PPO continuation (local x),95.0,459372.53125,459422.5
DC-PPO continuation (local x),97.0,459914.0625,459452.1145833333
DC-PPO continuation (local x),99.0,459069.75,459583.71875
DC-PPO continuation (local x),101.0,459767.34375,459579.34375
DC-PPO continuation (local x),103.0,459900.9375,460479.7708333333
DC-PPO continuation (local x),105.0,461771.03125,460065.2604166667
DC-PPO continuation (local x),107.0,458523.8125,459506.6666666667
DC-PPO continuation (local x),109.0,458225.15625,457996.0208333333
DC-PPO continuation (local x),111.0,457239.09375,458063.0520833333
DC-PPO continuation (local x),113.0,458724.90625,458494.3020833333
