series,local_learning_episode,raw_value,three_point_smoothed_value
MAPPO continuation (local x),219.0,492440.4375,492109.2291666667
MAPPO continuation (local x),221.0,491551.6875,491978.6041666667
MAPPO continuation (local x),223.0,491943.6875,491486.25
MAPPO continuation (local x),225.0,490963.375,490892.7708333333
MAPPO continuation (local x),227.0,489771.25,491025.8958333333
MAPPO continuation (local x),229.0,492343.0625,491644.0729166667
MAPPO continuation (local x),231.0,492817.90625,492890.2395833333
MAPPO continuation (local x),233.0,493509.75,493201.2291666667
MAPPO continuation (local x),235.0,493276.03125,493767.8541666667
MAPPO continuation (local x),237.0,494517.78125,494741.25
MAPPO continuation (local x),239.0,496429.9375,495687.3333333333
MAPPO continuation (local x),241.0,496114.28125,496212.2395833333
MAPPO continuation (local x),243.0,496092.5,496229.9791666667
MAPPO continuation (local x),245.0,496483.15625,496436.3125
MAPPO continuation (local x),247.0,496733.28125,496689.5208333333
MAPPO continuation (local x),249.0,496852.125,496669.2083333333
MAPPO continuation (local x),251.0,496422.21875,497063.4166666667
MAPPO continuation (local x),253.0,497915.90625,497187.0416666667
MAPPO continuation (local x),255.0,497223.0,497334.21875
MAPPO continuation (local x),257.0,496863.75,496840.8229166667
MAPPO continuation (local x),259.0,496435.71875,496471.90625
MAPPO continuation (local x),261.0,496116.25,496056.5208333333
MAPPO continuation (local x),263.0,495617.59375,495397.5
MAPPO continuation (local x),265.0,494458.65625,494295.9791666667
MAPPO continuation (local x),267.0,492811.6875,493405.3125
MAPPO continuation (local x),269.0,492945.59375,492954.9583333333
MAPPO continuation (local x),271.0,493107.59375,493402.3020833333
MAPPO continuation (local x),273.0,494153.71875,493945.1979166667
MAPPO continuation (local x),275.0,494574.28125,494759.5625
MAPPO continuation (local x),277.0,495550.6875,494564.125
MAPPO continuation (local x),279.0,493567.40625,494978.3958333333
MAPPO continuation (local x),281.0,495817.09375,495122.1354166667
MAPPO continuation (local x),283.0,495981.90625,495935.90625
MAPPO continuation (local x),285.0,496008.71875,495910.1458333333
MAPPO continuation (local x),287.0,495739.8125,495794.5625
MAPPO continuation (local x),289.0,495635.15625,495362.6354166667
MAPPO continuation (local x),291.0,494712.9375,495927.0
MAPPO continuation (local x),293.0,497432.90625,496118.1458333333
MAPPO continuation (local x),295.0,496208.59375,497290.6979166667
MAPPO continuation (local x),297.0,498230.59375,497055.1770833333
MAPPO continuation (local x),299.0,496726.34375,497473.3645833333
MAPPO continuation (local x),301.0,497463.15625,497540.6666666667
MAPPO continuation (local x),303.0,498432.5,498141.8229166667
MAPPO continuation (local x),305.0,498529.8125,498589.125
MAPPO continuation (local x),307.0,498805.0625,498318.4895833333
MAPPO continuation (local x),309.0,497620.59375,497437.4895833333
MAPPO continuation (local x),311.0,495886.8125,496738.7604166667
MAPPO continuation (local x),313.0,496708.875,496020.7395833333
MAPPO continuation (local x),315.0,495466.53125,496112.7395833333
MAPPO continuation (local x),317.0,496162.8125,495714.9166666667
MAPPO continuation (local x),319.0,495515.40625,496032.4583333333
MAPPO continuation (local x),321.0,496419.15625,495604.59375
MAPPO continuation (local x),323.0,494879.21875,495689.7395833333
MAPPO continuation (local x),325.0,495770.84375,495737.96875
MAPPO continuation (local x),327.0,496563.84375,496304.75
MAPPO continuation (local x),329.0,496579.5625,496270.4791666667
MAPPO continuation (local x),331.0,495668.03125,496019.2916666667
MAPPO continuation (local x),333.0,495810.28125,495319.90625
MAPPO continuation (local x),335.0,494481.40625,495001.5625
MAPPO continuation (local x),337.0,494713.0,494887.65625
MAPPO continuation (local x),339.0,495468.5625,495622.5208333333
MAPPO continuation (local x),341.0,496686.0,495363.09375
MAPPO continuation (local x),343.0,493934.71875,495313.6875
MAPPO continuation (local x),345.0,495320.34375,494639.4375
MAPPO continuation (local x),347.0,494663.25,494713.1979166667
MAPPO continuation (local x),349.0,494156.0,494303.8125
MAPPO continuation (local x),351.0,494092.1875,493806.65625
MAPPO continuation (local x),353.0,493171.78125,493575.96875
MAPPO continuation (local x),355.0,493463.9375,493066.6979166667
MAPPO continuation (local x),357.0,492564.375,493609.4479166667
MAPPO continuation (local x),359.0,494800.03125,493882.7708333333
MAPPO continuation (local x),361.0,494283.90625,493980.6458333333
MAPPO continuation (local x),363.0,492858.0,493526.2291666667
MAPPO continuation (local x),365.0,493436.78125,492897.4270833333
MAPPO continuation (local x),367.0,492397.5,492783.6979166667
MAPPO continuation (local x),369.0,492516.8125,492968.34375
MAPPO continuation (local x),371.0,493990.71875,493941.9166666667
MAPPO continuation (local x),373.0,495318.21875,495027.7708333333
MAPPO continuation (local x),375.0,495774.375,495533.4375
MAPPO continuation (local x),377.0,495507.71875,496194.6666666667
MAPPO continuation (local x),379.0,497301.90625,496540.5520833333
MAPPO continuation (local x),381.0,496812.03125,496306.2604166667
MAPPO continuation (local x),383.0,494804.84375,495324.5520833333
MAPPO continuation (local x),385.0,494356.78125,494836.6041666667
MAPPO continuation (local x),387.0,495348.1875,495440.3020833333
MAPPO continuation (local x),389.0,496615.9375,496104.6145833333
MAPPO continuation (local x),391.0,496349.71875,496206.0520833333
MAPPO continuation (local x),393.0,495652.5,495526.6875
MAPPO continuation (local x),395.0,494577.84375,494787.8541666667
MAPPO continuation (local x),397.0,494133.21875,494118.15625
MAPPO continuation (local x),399.0,493643.40625,493866.7604166667
MAPPO continuation (local x),401.0,493823.65625,493387.625
MAPPO continuation (local x),403.0,492695.8125,492758.5208333333
MAPPO continuation (local x),405.0,491756.09375,492496.5208333333
MAPPO continuation (local x),407.0,493037.65625,492876.15625
MAPPO continuation (local x),409.0,493834.71875,493848.7916666667
MAPPO continuation (local x),411.0,494674.0,494060.3229166667
MAPPO continuation (local x),413.0,493672.25,494241.6770833333
MAPPO continuation (local x),415.0,494378.78125,493663.9895833333
MAPPO continuation (local x),417.0,492940.9375,493705.4375
MAPPO continuation (local x),419.0,493796.59375,493198.3854166667
MAPPO continuation (local x),421.0,492857.625,492799.2916666667
MAPPO continuation (local x),423.0,491743.65625,492082.4375
MAPPO continuation (local x),425.0,491646.03125,491586.9583333333
MAPPO continuation (local x),427.0,491371.1875,491750.09375
MAPPO continuation (local x),429.0,492233.0625,492783.8854166667
MAPPO continuation (local x),431.0,494747.40625,493503.84375
MAPPO continuation (local x),433.0,493531.0625,494577.4583333333
MAPPO continuation (local x),435.0,495453.90625,493940.46875
MAPPO continuation (local x),437.0,492836.4375,494447.59375
MAPPO continuation (local x),439.0,495052.4375,494245.1458333333
MAPPO continuation (local x),441.0,494846.5625,494878.8541666667
MAPPO continuation (local x),443.0,494737.5625,494327.5208333333
MAPPO continuation (local x),445.0,493398.4375,493938.7395833333
MAPPO continuation (local x),447.0,493680.21875,492979.5520833333
MAPPO continuation (local x),449.0,491860.0,492830.4166666667
MAPPO continuation (local x),451.0,492951.03125,492351.4895833333
MAPPO continuation (local x),453.0,492243.4375,492752.3229166667
MAPPO continuation (local x),455.0,493062.5,492529.9479166667
MAPPO continuation (local x),457.0,492283.90625,492247.0833333333
MAPPO continuation (local x),459.0,491394.84375,491189.0625
MAPPO continuation (local x),461.0,489888.4375,491424.40625
MAPPO continuation (local x),463.0,492989.9375,491917.8645833333
MAPPO continuation (local x),465.0,492875.21875,492598.4375
MAPPO continuation (local x),467.0,491930.15625,491714.28125
MAPPO continuation (local x),469.0,490337.46875,491464.6458333333
MAPPO continuation (local x),471.0,492126.3125,491895.9270833333
MAPPO continuation (local x),473.0,493224.0,492806.8125
MAPPO continuation (local x),475.0,493070.125,493347.6979166667
MAPPO continuation (local x),477.0,493748.96875,493072.5833333333
MAPPO continuation (local x),479.0,492398.65625,493268.875
MAPPO continuation (local x),481.0,493659.0,493506.0729166667
MAPPO continuation (local x),483.0,494460.5625,493526.1875
MAPPO continuation (local x),485.0,492459.0,493998.1458333333
MAPPO continuation (local x),487.0,495074.875,494176.6041666667
MAPPO continuation (local x),489.0,494995.9375,494603.8854166667
MAPPO continuation (local x),491.0,493740.84375,495049.0729166667
MAPPO continuation (local x),493.0,496410.4375,495608.6770833333
MAPPO continuation (local x),495.0,496674.75,497232.1458333333
MAPPO continuation (local x),497.0,498611.25,498064.6458333333
MAPPO continuation (local x),499.0,498907.9375,498591.7291666667
MAPPO continuation (local x),501.0,498256.0,498082.3645833333
MAPPO continuation (local x),503.0,497083.15625,496941.40625
MAPPO continuation (local x),505.0,495485.0625,496143.90625
MAPPO continuation (local x),507.0,495863.5,495151.84375
MAPPO continuation (local x),509.0,494106.96875,495249.53125
MAPPO continuation (local x),511.0,495778.125,494341.2083333333
MAPPO continuation (local x),513.0,493138.53125,494102.375
MAPPO continuation (local x),515.0,493390.46875,493477.7708333333
MAPPO continuation (local x),517.0,493904.3125,493305.15625
MAPPO continuation (local x),519.0,492620.6875,493556.15625
MAPPO continuation (local x),521.0,494143.46875,493457.3958333333
MAPPO continuation (local x),523.0,493608.03125,493593.9166666667
MAPPO continuation (local x),525.0,493030.25,493242.5
MAPPO continuation (local x),527.0,493089.21875,493543.9583333333
MAPPO continuation (local x),529.0,494512.40625,493860.21875
MAPPO continuation (local x),531.0,493979.03125,494378.1041666667
MAPPO continuation (local x),533.0,494642.875,494176.875
MAPPO continuation (local x),535.0,493908.71875,494213.6875
