series,environment_steps,learning_episode,raw_value,three_point_smoothed_value
Q2,5708800,223.0,441527.75,444768.2708333333
Q2,5760000,225.0,447121.84375,443938.1979166667
Q2,5811200,227.0,443165.0,443693.6145833333
Q2,5862400,229.0,440794.0,441540.9375
Q2,5913600,231.0,440663.8125,441354.0208333333
Q2,5964800,233.0,442604.25,441564.0416666667
Q2,6016000,235.0,441424.0625,442459.6354166667
Q2,6067200,237.0,443350.59375,442033.46875
Q2,6118400,239.0,441325.75,443214.4583333333
Q2,6169600,241.0,444967.03125,444076.1979166667
Q2,6220800,243.0,445935.8125,445924.0833333333
Q2,6272000,245.0,446869.40625,446976.9791666667
Q2,6323200,247.0,448125.71875,447973.9895833333
Q2,6374400,249.0,448926.84375,448787.9583333333
Q2,6425600,251.0,449311.3125,449653.9583333333
Q2,6476800,253.0,450723.71875,450721.4166666667
Q2,6528000,255.0,452129.21875,450434.9895833333
Q2,6579200,257.0,448452.03125,449159.8541666667
Q2,6630400,259.0,446898.3125,448056.375
Q2,6681600,261.0,448818.78125,449340.5833333333
Q2,6732800,263.0,452304.65625,450925.34375
Q2,6784000,265.0,451652.59375,452822.3541666667
Q2,6835200,267.0,454509.8125,450810.0104166667
Q2,6886400,269.0,446267.625,450566.6770833333
Q2,6937600,271.0,450922.59375,448725.78125
Q2,6988800,273.0,448987.125,450696.9166666667
Q2,7040000,275.0,452181.03125,450408.875
Q2,7091200,277.0,450058.46875,451300.9583333333
Q2,7142400,279.0,451663.375,449696.0520833333
Q2,7193600,281.0,447366.3125,450137.2604166667
Q2,7244800,283.0,451382.09375,450351.3020833333
Q2,7296000,285.0,452305.5,452160.9895833333
Q2,7347200,287.0,452795.375,451800.6041666667
Q2,7398400,289.0,450300.9375,453012.6354166667
Q2,7449600,291.0,455941.59375,453109.125
Q2,7500800,293.0,453084.84375,455849.4895833333
Q2,7552000,295.0,458522.03125,455693.5833333333
Q2,7603200,297.0,455473.875,459808.2604166667
Q2,7654400,299.0,465428.875,461761.2708333333
Q2,7705600,301.0,464381.0625,462533.7291666667
Q2,7756800,303.0,457791.25,462062.6458333333
Q2,7808000,305.0,464015.625,461697.6458333333
Q2,7859200,307.0,463286.0625,464295.0833333333
Q2,7910400,309.0,465583.5625,464678.4270833333
Q2,7961600,311.0,465165.65625,465573.1979166667
Q2,8012800,313.0,465970.375,462411.21875
Q2,8064000,315.0,456097.625,460555.6770833333
Q2,8115200,317.0,459599.03125,459628.4583333333
Q2,8166400,319.0,463188.71875,464246.6979166667
Q2,8217600,321.0,469952.34375,467172.9270833333
Q2,8268800,323.0,468377.71875,468134.8958333333
Q2,8320000,325.0,466074.625,465885.8958333333
Q2,8371200,327.0,463205.34375,465421.3333333333
Q2,8422400,329.0,466984.03125,464764.3333333333
Q2,8473600,331.0,464103.625,465584.6041666667
Q2,8524800,333.0,465666.15625,466019.4270833333
Q2,8576000,335.0,468288.5,465885.3645833333
Q2,8627200,337.0,463701.4375,466667.0729166667
Q2,8678400,339.0,468011.28125,466078.1458333333
Q2,8729600,341.0,466521.71875,467113.1458333333
Q2,8780800,343.0,466806.4375,464959.0416666667
Q2,8832000,345.0,461548.96875,463193.9479166667
Q2,8883200,347.0,461226.4375,462984.21875
Q2,8934400,349.0,466177.25,464725.9895833333
Q2,8985600,351.0,466774.28125,464654.7395833333
Q2,9036800,353.0,461012.6875,462343.25
Q2,9088000,355.0,459242.78125,459941.7083333333
Q2,9139200,357.0,459569.65625,461997.3541666667
Q2,9190400,359.0,467179.625,464152.96875
Q2,9241600,361.0,465709.625,465264.4270833333
Q2,9292800,363.0,462904.03125,464035.6979166667
Q2,9344000,365.0,463493.4375,463577.9270833333
Q2,9395200,367.0,464336.3125,464674.71875
Q2,9446400,369.0,466194.40625,465060.5520833333
Q2,9497600,371.0,464650.9375,463899.1770833333
Q2,9548800,373.0,460852.1875,465097.4270833333
Q2,9600000,375.0,469789.15625,466841.375
Q2,9651200,377.0,469882.78125,468374.9791666667
Q2,9702400,379.0,465453.0,465905.375
Q2,9753600,381.0,462380.34375,463956.8020833333
Q2,9804800,383.0,464037.0625,463581.4375
Q2,9856000,385.0,464326.90625,464732.25
Q2,9907200,387.0,465832.78125,467966.1354166667
Q2,9958400,389.0,473738.71875,469869.28125
Q2,10009600,391.0,470036.34375,471913.3645833333
Q2,10060800,393.0,471965.03125,473754.8541666667
Q2,10112000,395.0,479263.1875,473131.2916666667
Q2,10163200,397.0,468165.65625,474397.2708333333
Q2,10214400,399.0,475762.96875,472152.7604166667
Q2,10265600,401.0,472529.65625,473805.8541666667
Q2,10316800,403.0,473124.9375,472953.625
Q2,10368000,405.0,473206.28125,474427.5104166667
Q2,10419200,407.0,476951.3125,475834.9479166667
Q2,10470400,409.0,477347.25,476346.7916666667
Q2,10521600,411.0,474741.8125,473744.8020833333
Q2,10572800,413.0,469145.34375,472465.2916666667
Q2,10624000,415.0,473508.71875,471982.9166666667
Q2,10675200,417.0,473294.6875,475653.5416666667
Q2,10726400,419.0,480157.21875,476704.9375
Q2,10777600,421.0,476662.90625,478318.3645833333
Q2,10828800,423.0,478134.96875,477678.625
Q2,10880000,425.0,478238.0,479380.1770833333
Q2,10931200,427.0,481767.5625,479851.1354166667
Q2,10982400,429.0,479547.84375,480933.34375
Q2,11033600,431.0,481484.625,479247.6145833333
Q2,11084800,433.0,476710.375,480023.6979166667
Q2,11136000,435.0,481876.09375,481072.1770833333
Q2,11187200,437.0,484630.0625,482452.5520833333
Q2,11238400,439.0,480851.5,483897.15625
Q2,11289600,441.0,486209.90625,482003.0104166667
Q2,11340800,443.0,478947.625,480798.9166666667
Q2,11392000,445.0,477239.21875,478621.0729166667
Q2,11443200,447.0,479676.375,477779.4270833333
Q2,11494400,449.0,476422.6875,478330.6666666667
Q2,11545600,451.0,478892.9375,477477.21875
Q2,11596800,453.0,477116.03125,476321.71875
Q2,11648000,455.0,472956.1875,477306.40625
Q2,11699200,457.0,481847.0,477624.3854166667
Q2,11750400,459.0,478069.96875,478792.5416666667
Q2,11801600,461.0,476460.65625,477463.8854166667
Q2,11852800,463.0,477861.03125,474447.375
Q2,11904000,465.0,469020.4375,475498.3125
Q2,11955200,467.0,479613.46875,474539.9479166667
Q2,12006400,469.0,474985.9375,475535.7395833333
Q2,12057600,471.0,472007.8125,474065.7708333333
Q2,12108800,473.0,475203.5625,474123.1770833333
Q2,12160000,475.0,475158.15625,475284.2604166667
Q2,12211200,477.0,475491.0625,474999.71875
Q2,12262400,479.0,474349.9375,475019.1458333333
Q2,12313600,481.0,475216.4375,474986.1145833333
Q2,12364800,483.0,475391.96875,474897.25
Q2,12416000,485.0,474083.34375,473013.34375
Q2,12467200,487.0,469564.71875,471806.3854166667
Q2,12518400,489.0,471771.09375,471426.25
Q2,12569600,491.0,472942.9375,473063.4166666667
Q2,12620800,493.0,474476.21875,473258.1354166667
Q2,12672000,495.0,472355.25,475212.15625
Q2,12723200,497.0,478805.0,478930.1041666667
Q2,12774400,499.0,485630.0625,480818.96875
Q2,12825600,501.0,478021.84375,480037.1770833333
Q2,12876800,503.0,476459.625,476961.9375
Q2,12928000,505.0,476404.34375,477825.75
Q2,12979200,507.0,480613.28125,477085.3229166667
Q2,13030400,509.0,474238.34375,478088.7291666667
Q2,13081600,511.0,479414.5625,477917.15625
Q2,13132800,513.0,480098.5625,481186.0416666667
Q2,13184000,515.0,484045.0,481995.8645833333
Q2,13235200,517.0,481844.03125,481313.65625
Q2,13286400,519.0,478051.9375,479523.65625
Q2,13337600,521.0,478675.0,478508.09375
Q2,13388800,523.0,478797.34375,478722.3229166667
Q2,13440000,525.0,478694.625,477902.5625
Q2,13491200,527.0,476215.71875,476983.0
Q2,13542400,529.0,476038.65625,474945.4479166667
Q2,13593600,531.0,472581.96875,474828.3229166667
Q2,13644800,533.0,475864.34375,475033.71875
Q2,13696000,535.0,476654.84375,478146.4895833333
Q2,13747200,537.0,481920.28125,481910.34375
Q2,13798400,539.0,487155.90625,486800.78125
Q2,13849600,541.0,491326.15625,486143.8125
Q2,13900800,543.0,479949.375,483298.5625
Q2,13952000,545.0,478620.15625,480907.9583333333
Q2,14003200,547.0,484154.34375,481274.0
Q2,14054400,549.0,481047.5,483237.6458333333
Q2,14105600,551.0,484511.09375,484186.53125
Q2,14156800,553.0,487001.0,485476.5520833333
Q2,14208000,555.0,484917.5625,484447.65625
Q2,14259200,557.0,481424.40625,483329.8020833333
Q2,14310400,559.0,483647.4375,482202.2083333333
Q2,14361600,561.0,481534.78125,481872.2083333333
Q2,14412800,563.0,480434.40625,479899.5520833333
Q2,14464000,565.0,477729.46875,481137.4166666667
Q2,14515200,567.0,485248.375,481178.25
Q2,14566400,569.0,480556.90625,482835.9791666667
Q2,14617600,571.0,482702.65625,483854.65625
Q2,14668800,573.0,488304.40625,484022.2708333333
Q2,14720000,575.0,481059.75,485699.5729166667
Q2,14771200,577.0,487734.5625,483755.3229166667
Q2,14822400,579.0,482471.65625,483827.9791666667
Q2,14873600,581.0,481277.71875,481733.4479166667
Q2,14924800,583.0,481450.96875,481526.0729166667
Q2,14976000,585.0,481849.53125,479777.125
Q2,15027200,587.0,476030.875,477416.8333333333
Q2,15078400,589.0,474370.09375,476886.3854166667
Q2,15129600,591.0,480258.1875,478601.7395833333
Q2,15180800,593.0,481176.9375,480405.4791666667
Q2,15232000,595.0,479781.3125,481301.1666666667
Q2,15283200,597.0,482945.25,480440.7708333333
Q2,15334400,599.0,478595.75,482749.4479166667
Q2,15385600,601.0,486707.34375,482723.6041666667
Q2,15436800,603.0,482867.71875,482317.6145833333
Q2,15488000,605.0,477377.78125,481967.3229166667
Q2,15539200,607.0,485656.46875,482750.65625
Q2,15590400,609.0,485217.71875,484185.2395833333
Q2,15641600,611.0,481681.53125,482524.4895833333
Q2,15692800,613.0,480674.21875,483010.8854166667
Q2,15744000,615.0,486676.90625,484074.125
Q2,15795200,617.0,484871.25,486267.7395833333
Q2,15846400,619.0,487255.0625,485489.0729166667
Q2,15897600,621.0,484340.90625,484181.2708333333
Q2,15948800,623.0,480947.84375,482654.5520833333
Q2,16000000,625.0,482674.90625,481393.2604166667
Q2,16051200,627.0,480557.03125,481909.3645833333
Q2,16102400,629.0,482496.15625,481891.5208333333
Q2,16153600,631.0,482621.375,481513.1875
Q2,16204800,633.0,479422.03125,480510.4270833333
Q2,16256000,635.0,479487.875,481254.90625
Q2,16307200,637.0,484854.8125,482118.09375
Q2,16358400,639.0,482011.59375,481799.2708333333
Q2,16409600,641.0,478531.40625,482004.2291666667
Q2,16460800,643.0,485469.6875,482429.7604166667
Q2,16512000,645.0,483288.1875,485712.46875
