series,source_kind,learning_episode,mean,std
"MAPPO (fixed 60, 3 seeds)",historical,143.0,391945.87890625,3939.861584680153
"MAPPO (fixed 60, 3 seeds)",historical,145.0,393104.75217013893,2522.6574326775512
"MAPPO (fixed 60, 3 seeds)",historical,147.0,393986.0842013888,1447.922759748647
"MAPPO (fixed 60, 3 seeds)",historical,149.0,392506.4127604167,1445.5820589004147
"MAPPO (fixed 60, 3 seeds)",historical,151.0,391310.05164930556,260.44050850350465
"MAPPO (fixed 60, 3 seeds)",historical,153.0,392481.9769965278,1036.4094543783244
"MAPPO (fixed 60, 3 seeds)",historical,155.0,394307.66015625,853.8640063226834
"MAPPO (fixed 60, 3 seeds)",historical,157.0,396387.9743923612,1432.429255540424
"MAPPO (fixed 60, 3 seeds)",historical,159.0,397642.2256944445,2535.1166176441807
"MAPPO (fixed 60, 3 seeds)",historical,161.0,398482.96397569444,2348.526791488006
"MAPPO (fixed 60, 3 seeds)",historical,163.0,399268.0499131945,1644.5880578467097
"MAPPO (fixed 60, 3 seeds)",historical,165.0,399813.0416666667,3401.8195267111864
"MAPPO (fixed 60, 3 seeds)",historical,167.0,400448.69921875,3032.475100573277
"MAPPO (fixed 60, 3 seeds)",historical,169.0,400037.56944444444,2580.1790553263586
"MAPPO (fixed 60, 3 seeds)",historical,171.0,399690.2096354167,2236.4054628192403
"MAPPO (fixed 60, 3 seeds)",historical,173.0,400403.7018229167,1559.1335444580575
"MAPPO (fixed 60, 3 seeds)",historical,175.0,401616.2495659722,1959.7594445080365
"MAPPO (fixed 60, 3 seeds)",historical,177.0,402526.6831597222,486.0986531874146
"MAPPO (fixed 60, 3 seeds)",historical,179.0,403938.48350694444,2698.1261242083647
"MAPPO (fixed 60, 3 seeds)",historical,181.0,407079.8268229167,2583.6758100203247
"MAPPO (fixed 60, 3 seeds)",historical,183.0,408679.5060763888,3585.5165820082198
"MAPPO (fixed 60, 3 seeds)",historical,185.0,408512.47265625,732.2870549719398
"MAPPO (fixed 60, 3 seeds)",historical,187.0,409298.81553819444,2649.0563846502455
"MAPPO (fixed 60, 3 seeds)",historical,189.0,410076.48828125,1829.5700025221267
"MAPPO (fixed 60, 3 seeds)",historical,191.0,412380.52734375,1715.7407628969047
"MAPPO (fixed 60, 3 seeds)",historical,193.0,410849.60980902775,748.0434051180309
"MAPPO (fixed 60, 3 seeds)",historical,195.0,410929.21484375,1425.4785287079185
"MAPPO (fixed 60, 3 seeds)",historical,197.0,410630.6948784722,2430.777411562791
"MAPPO (fixed 60, 3 seeds)",historical,199.0,410753.4370659722,1018.6067349490737
"MAPPO (fixed 60, 3 seeds)",historical,201.0,411499.9058159722,442.53107856489424
"MAPPO (fixed 60, 3 seeds)",historical,203.0,412726.06293402775,785.723643258492
"MAPPO (fixed 60, 3 seeds)",historical,205.0,415019.83420138893,3099.1429771272396
"MAPPO (fixed 60, 3 seeds)",historical,207.0,416445.08506944444,4653.5672615664935
"MAPPO (fixed 60, 3 seeds)",historical,209.0,415863.45138888893,4861.253069050151
"MAPPO (fixed 60, 3 seeds)",historical,211.0,416052.38845486107,2598.3191205354096
"MAPPO (fixed 60, 3 seeds)",historical,213.0,415563.68446180556,736.783267655838
"MAPPO (fixed 60, 3 seeds)",historical,215.0,417588.7894965278,2934.288966148898
"MAPPO (fixed 60, 3 seeds)",historical,217.0,417017.9895833333,3666.525690790444
"MAPPO (fixed 60, 3 seeds)",historical,219.0,417428.01128472225,3824.529830440629
"MAPPO (fixed 60, 3 seeds)",historical,221.0,416524.5442708333,4517.9845145197105
"MAPPO (fixed 60, 3 seeds)",historical,223.0,416821.50824652775,4105.402114802474
"MAPPO (fixed 60, 3 seeds)",historical,225.0,417989.65017361107,4793.245309865309
"MAPPO (fixed 60, 3 seeds)",historical,227.0,419029.90277777775,3210.3094680729273
"MAPPO (fixed 60, 3 seeds)",historical,229.0,420082.40842013893,1888.6398960193187
"MAPPO (fixed 60, 3 seeds)",historical,231.0,419369.56293402775,1497.0970455767995
"MAPPO (fixed 60, 3 seeds)",historical,233.0,418107.0217013888,1474.6102736573298
"MAPPO (fixed 60, 3 seeds)",historical,235.0,419914.8489583333,1391.010907062939
"MAPPO (fixed 60, 3 seeds)",historical,237.0,421543.73220486107,2345.2177635742523
"MAPPO (fixed 60, 3 seeds)",historical,239.0,424769.1605902778,4599.963816335436
"MAPPO (fixed 60, 3 seeds)",historical,241.0,424595.4296875,5113.116513552559
"MAPPO (fixed 60, 3 seeds)",historical,243.0,426208.12890625,5462.429113818714
"MAPPO (fixed 60, 3 seeds)",historical,245.0,428430.0451388888,4222.497059909067
"MAPPO (fixed 60, 3 seeds)",historical,247.0,428471.3567708333,3003.7313633582203
"MAPPO (fixed 60, 3 seeds)",historical,249.0,428814.32421875,1065.7049420102608
"MAPPO (fixed 60, 3 seeds)",historical,251.0,428643.6822916667,255.79239910294555
"MAPPO (fixed 60, 3 seeds)",historical,253.0,429475.09331597225,665.8894405386939
"MAPPO (fixed 60, 3 seeds)",historical,255.0,428600.9986979167,1246.1538646086428
"MAPPO (fixed 60, 3 seeds)",historical,257.0,427285.51258680556,656.7718805487174
"MAPPO (fixed 60, 3 seeds)",historical,259.0,428808.7330729167,1877.8075904392588
"MAPPO (fixed 60, 3 seeds)",historical,261.0,429498.9049479167,2872.404090987778
"MAPPO (fixed 60, 3 seeds)",historical,263.0,431605.8307291667,3259.5416402934416
"MAPPO (fixed 60, 3 seeds)",historical,265.0,431546.15147569444,1823.0848806119395
"MAPPO (fixed 60, 3 seeds)",historical,267.0,433578.9969618055,3194.653053589099
"MAPPO (fixed 60, 3 seeds)",historical,269.0,433268.99001736107,2529.5473938479995
"MAPPO (fixed 60, 3 seeds)",historical,271.0,432820.0638020833,1835.5285656394608
"MAPPO (fixed 60, 3 seeds)",historical,273.0,431152.43359375,1249.9344676113583
"MAPPO (fixed 60, 3 seeds)",historical,275.0,431741.1393229167,1309.74514563983
"MAPPO (fixed 60, 3 seeds)",historical,277.0,432251.56640625,411.4439206789768
"MAPPO (fixed 60, 3 seeds)",historical,279.0,432870.1480034722,625.3019546324524
"MAPPO (fixed 60, 3 seeds)",historical,281.0,432910.9309895833,1422.250448975068
"MAPPO (fixed 60, 3 seeds)",historical,283.0,434476.78342013893,2645.2812487028386
"MAPPO (fixed 60, 3 seeds)",historical,285.0,436079.140625,3470.6209217159926
"MAPPO (fixed 60, 3 seeds)",historical,287.0,436906.0963541667,3013.1267137362715
"MAPPO (fixed 60, 3 seeds)",historical,289.0,436141.75607638893,3200.505994123245
"MAPPO (fixed 60, 3 seeds)",historical,291.0,437905.70529513893,3404.7701240711335
"MAPPO (fixed 60, 3 seeds)",historical,293.0,438878.0638020833,5915.833208476298
"MAPPO (fixed 60, 3 seeds)",historical,295.0,440669.3046875,5211.594126996196
"MAPPO (fixed 60, 3 seeds)",historical,297.0,439093.93142361107,3566.816525599425
"MAPPO (fixed 60, 3 seeds)",historical,299.0,437576.77300347225,1752.4724255113895
"MAPPO (fixed 60, 3 seeds)",historical,301.0,437249.7200520833,2538.272200661235
"MAPPO (fixed 60, 3 seeds)",historical,303.0,437380.39236111107,4593.438398662071
"MAPPO (fixed 60, 3 seeds)",historical,305.0,439658.1705729167,3965.1352555589847
"MAPPO (fixed 60, 3 seeds)",historical,307.0,439367.59331597225,2725.5172262872898
"MAPPO (fixed 60, 3 seeds)",historical,309.0,440492.60633680556,2745.4730717834245
"MAPPO (fixed 60, 3 seeds)",historical,311.0,439419.14539930556,3526.763622316693
"MAPPO (fixed 60, 3 seeds)",historical,313.0,442063.9917534722,5307.009176804986
"MAPPO (fixed 60, 3 seeds)",historical,315.0,442230.9817708333,5243.519566763821
"MAPPO (fixed 60, 3 seeds)",historical,317.0,444818.5052083333,6643.175159119887
"MAPPO (fixed 60, 3 seeds)",historical,319.0,444773.6918402778,6729.140627813245
"MAPPO (fixed 60, 3 seeds)",historical,321.0,446266.8628472222,6559.881117930266
"MAPPO (fixed 60, 3 seeds)",historical,323.0,446170.22743055556,5551.577655124308
"MAPPO (fixed 60, 3 seeds)",historical,325.0,445859.7942708333,5076.605888755732
"MAPPO (fixed 60, 3 seeds)",historical,327.0,445433.96875,4616.8701662096955
"MAPPO (fixed 60, 3 seeds)",historical,329.0,445819.62673611107,4141.804325385334
"MAPPO (fixed 60, 3 seeds)",historical,331.0,447170.3038194445,4983.392955232031
"MAPPO (fixed 60, 3 seeds)",historical,333.0,448515.4965277778,6165.114032837399
"MAPPO (fixed 60, 3 seeds)",historical,335.0,449255.0555555555,6634.063112689578
"MAPPO (fixed 60, 3 seeds)",historical,337.0,449236.62934027775,6075.084789635037
"MAPPO (fixed 60, 3 seeds)",historical,339.0,448690.7994791667,4938.404656196153
"MAPPO (fixed 60, 3 seeds)",historical,341.0,447843.89409722225,2544.2925174253596
"MAPPO (fixed 60, 3 seeds)",historical,343.0,448328.5494791667,2458.242214927071
"MAPPO (fixed 60, 3 seeds)",historical,345.0,450899.22482638893,3341.0658786375443
"MAPPO (fixed 60, 3 seeds)",historical,347.0,452596.2022569445,4701.155370930113
"MAPPO (fixed 60, 3 seeds)",historical,349.0,453135.79774305556,5861.513612118626
"MAPPO (fixed 60, 3 seeds)",historical,351.0,452687.53298611107,5513.892869874282
"MAPPO (fixed 60, 3 seeds)",historical,353.0,453982.54600694444,6678.527316683263
"MAPPO (fixed 60, 3 seeds)",historical,355.0,453831.0616319445,5619.30147093005
"MAPPO (fixed 60, 3 seeds)",historical,357.0,455120.9296875,5365.851291842961
"MAPPO (fixed 60, 3 seeds)",historical,359.0,454599.5989583333,5510.593712114039
"MAPPO (fixed 60, 3 seeds)",historical,361.0,456668.1319444445,5514.784753324369
"MAPPO (fixed 60, 3 seeds)",historical,363.0,455168.2829861112,5223.15726881663
"MAPPO (fixed 60, 3 seeds)",historical,365.0,453344.9904513888,4197.0551581100935
"MAPPO (fixed 60, 3 seeds)",historical,367.0,452740.8333333333,5448.588970888354
"MAPPO (fixed 60, 3 seeds)",historical,369.0,453040.3671875,6049.2778773834025
"MAPPO (fixed 60, 3 seeds)",historical,371.0,454362.1770833333,7285.837630898653
"MAPPO (fixed 60, 3 seeds)",historical,373.0,455777.43663194444,5023.76376887806
"MAPPO (fixed 60, 3 seeds)",historical,375.0,456068.0564236112,6167.8403463454015
"MAPPO (fixed 60, 3 seeds)",historical,377.0,456785.8237847222,5787.300844651781
"MAPPO (fixed 60, 3 seeds)",historical,379.0,455808.3229166667,8223.233476562526
"MAPPO (fixed 60, 3 seeds)",historical,381.0,456448.38888888893,6716.052176572479
"MAPPO (fixed 60, 3 seeds)",historical,383.0,457073.60329861107,6159.484183877883
"MAPPO (fixed 60, 3 seeds)",historical,385.0,456843.9574652778,3877.769833294758
"MAPPO (fixed 60, 3 seeds)",historical,387.0,457768.9123263888,4998.769180146313
"MAPPO (fixed 60, 3 seeds)",historical,389.0,459139.4192708333,5558.500742870809
"MAPPO (fixed 60, 3 seeds)",historical,391.0,461377.01128472225,6912.477852288434
"MAPPO (fixed 60, 3 seeds)",historical,393.0,460469.7786458333,5711.494225389866
"MAPPO (fixed 60, 3 seeds)",historical,395.0,459681.515625,5886.425604681906
"MAPPO (fixed 60, 3 seeds)",historical,397.0,458055.7109375,5409.587318511609
"MAPPO (fixed 60, 3 seeds)",historical,399.0,459199.9348958333,6930.333997061881
"MAPPO (fixed 60, 3 seeds)",historical,401.0,459345.8993055555,7559.773523978284
"MAPPO (fixed 60, 3 seeds)",historical,403.0,459977.69618055556,5907.1924168675705
"MAPPO (fixed 60, 3 seeds)",historical,405.0,461511.0373263888,5237.525643740923
"MAPPO (fixed 60, 3 seeds)",historical,407.0,461720.43836805556,5113.625377770559
"MAPPO (fixed 60, 3 seeds)",historical,409.0,462330.24305555556,6839.942686348313
"MAPPO (fixed 60, 3 seeds)",historical,411.0,461359.0381944445,6302.799449488216
"MAPPO (fixed 60, 3 seeds)",historical,413.0,463476.40277777775,5480.0637975292275
"MAPPO (fixed 60, 3 seeds)",historical,415.0,464617.9557291667,4292.382151721541
"MAPPO (fixed 60, 3 seeds)",historical,417.0,465451.2630208333,3124.306855207751
"MAPPO (fixed 60, 3 seeds)",historical,419.0,465149.8940972222,3275.808859179249
"MAPPO (fixed 60, 3 seeds)",historical,421.0,464928.78559027775,4870.297303804337
"MAPPO (fixed 60, 3 seeds)",historical,423.0,466018.97829861107,5712.134105436427
"MAPPO (fixed 60, 3 seeds)",historical,425.0,464613.25347222225,6060.580368735214
"MAPPO (fixed 60, 3 seeds)",historical,427.0,465997.9053819445,4005.9168456025322
"MAPPO (fixed 60, 3 seeds)",historical,429.0,466731.0833333333,5503.352218998275
"MAPPO (fixed 60, 3 seeds)",historical,431.0,469762.81684027775,4958.96228237659
"MAPPO (fixed 60, 3 seeds)",historical,433.0,468186.8611111112,3572.819192295695
"MAPPO (fixed 60, 3 seeds)",historical,435.0,467638.7552083333,1354.6039123634675
"MAPPO (fixed 60, 3 seeds)",historical,437.0,466460.20746527775,1075.5855416229556
"MAPPO (fixed 60, 3 seeds)",historical,439.0,468305.92534722225,2144.2611960546783
"MAPPO (fixed 60, 3 seeds)",historical,441.0,467987.3402777778,4768.374718021093
"MAPPO (fixed 60, 3 seeds)",historical,443.0,469169.6041666667,2982.3586539427265
"MAPPO (fixed 60, 3 seeds)",historical,445.0,470132.15711805556,1195.517772424486
"MAPPO (fixed 60, 3 seeds)",historical,447.0,471963.31597222225,898.0339551753076
"MAPPO (fixed 60, 3 seeds)",historical,449.0,472505.6475694445,1953.3534058834928
"MAPPO (fixed 60, 3 seeds)",historical,451.0,470532.79774305556,2245.133479239294
"MAPPO (fixed 60, 3 seeds)",historical,453.0,470472.74913194444,4097.037181323736
"MAPPO (fixed 60, 3 seeds)",historical,455.0,469381.99652777775,3582.042634560091
"MAPPO (fixed 60, 3 seeds)",historical,457.0,471082.57204861107,3355.8197573884718
"MAPPO (fixed 60, 3 seeds)",historical,459.0,471219.4479166667,2854.386192445206
"MAPPO (fixed 60, 3 seeds)",historical,461.0,473706.61284722225,4027.1478196725484
"MAPPO (fixed 60, 3 seeds)",historical,463.0,473902.3463541667,2741.8498121057064
"MAPPO (fixed 60, 3 seeds)",historical,465.0,473202.359375,3025.7896952700085
"MAPPO (fixed 60, 3 seeds)",historical,467.0,471972.86284722225,4131.390814222608
"MAPPO (fixed 60, 3 seeds)",historical,469.0,472304.4826388888,3082.7102953103936
"MAPPO (fixed 60, 3 seeds)",historical,471.0,473638.99305555556,2878.9341786630266
