run,max_abs_sum_individual_minus_true_all,mean_sum_individual_minus_true_all,max_abs_sum_individual_minus_sum_cumulative
MAPPO (strict 1+5),0.0234375,8.796059365404299e-05,216.0
DC-PPO (strict 1+5),0.0234375,-0.00011145007036847492,196.0
